timelineID,auditID,relativePath,game,startTimestamp,endTimestamp,menu,submenu,category,observedContent,viewsShown,coverage,clearlyReadable,sourceBasis,productionStatus,verificationStatus
MEDIA-001-TL-001,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,0,15,Skin,Skin Tone / Complexion / Skin Surface,Skin,Skin tone and complexion values visible; exact final boundary not proven.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-001-TL-002,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,15,55,Skin,Complexion / Skin Surface,Skin,Complexion and skin-surface presets visible; some labels readable.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-001-TL-003,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,55,95,Skin,Freckles / Scarring / Moles / Face Makeup / Lip Makeup,Skin,Texture/makeup controls visible with selected values; full selector boundaries not proven.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-001-TL-004,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,95,145,Head,Skull / Forehead / Jaw / Ears,Head,Head-structure numeric-looking preset labels visible; player remains mostly front/three-quarter.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-001-TL-005,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,145,205,Face,Cheeks / Chin / Neck / Eyes / Eyebrows,Face,Face controls and color swatches visible; no complete boundary proof.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-001-TL-006,MEDIA-001,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,EA Sports FC player creator,205,240.98,Face,Eyebrows / color swatches,Face,Eyebrow-related rows and color swatches remain visible near the end.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-002-TL-001,MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,EA Sports FC player creator,0,35,Face,Eyes / Eyebrows / Nose / Mouth / Teeth,Face,Continues face-control traversal; selected labels and values are visible but exact ranges are not fully proven.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-002-TL-002,MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,EA Sports FC player creator,35,70,Hair,Hair color / highlights,Hair,Hair color swatches and selected hair settings visible.,front;right_profile;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-002-TL-003,MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,EA Sports FC player creator,70,160,Hair,Hair styles,Hair,Multiple hair-style presets visible with front/side/rear-oriented model views.,front;left_profile;right_profile;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-002-TL-004,MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,EA Sports FC player creator,160,195,Hair,Hair color / hairstyle continuation,Hair,Additional hair styles and color selections visible.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
