verifierQueueID,candidateID,category,claimedNativeLabel,claimedNativeIndex,claimedNativeOrder,evidenceSupportState,supportStateRationale,requiredIndependentInGameCheck,evidenceFileCheck,frontViewCheck,secondaryAngleRequirement,duplicateOrOrderIssue,requiredNotes,productionEligibilityState,blockingReason,userConfirmationRequired
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-chin-square,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,Square,2,2,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-001,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,Light Blue,1,1,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-002,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,Light Brown,2,2,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-003,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,Brown,3,3,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-004,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,Blue,4,4,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-005,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,Light Green,5,5,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-006,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,Grey,6,6,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyecolor-007,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,Hazel,7,7,USER_CONFIRMATION_REQUIRED,"Locked media supports the visible option enough for verifier review, but this appearance choice should require user confirmation and confirmation screenshots before being treated as a successful personal outcome.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-color-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,true
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyeshape-001,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,Almond,1,1,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyeshape-002,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,None,2,2,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,false
