game,coverageArea,state,notes,sourceBasis,productionStatus
EA Sports FC player creator footage,Environment and version footage,PARTIALLY_CAPTURED,"Creator UI is visible, but title/version/platform screen is not shown.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Main player-creation path,PARTIALLY_CAPTURED,Player creator is open; entry path into creator is not shown.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Complete visible menu hierarchy,PARTIALLY_CAPTURED,"Skin, Head, Face, Hair sections are visible across two videos; full top-level hierarchy and boundaries are not proven.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Head or face presets,PARTIALLY_CAPTURED,"Skull, forehead, jaw, ears, cheeks, chin, neck, eyes, eyebrows, nose, mouth, teeth controls are visible.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Skin options,PARTIALLY_CAPTURED,"Skin Tone, Complexion, Skin Surface visible.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Skin details or complexion,PARTIALLY_CAPTURED,"Freckles, scarring, moles, makeup visible.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Eye-related options,PARTIALLY_CAPTURED,Eyes and eyebrows visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Nose-related options,PARTIALLY_CAPTURED,Nose controls visible in part 2.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Ear-related options,PARTIALLY_CAPTURED,Ear controls visible in part 1.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Mouth-related options,PARTIALLY_CAPTURED,Mouth and teeth controls visible in part 2.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Jaw-related options,PARTIALLY_CAPTURED,Jaw controls visible in part 1.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Chin,PARTIALLY_CAPTURED,Chin controls visible in part 1.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Eyebrow-related options,PARTIALLY_CAPTURED,Eyebrow rows and colors visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Hairstyles,CAPTURED_WITH_LIMITATIONS,Many hair styles visible with extractable angles.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Hair colors,CAPTURED_WITH_LIMITATIONS,Hair color swatches visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Facial hair,PARTIALLY_CAPTURED,Facial hair and color rows visible near end of part 2.,direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Facial-hair colors,PARTIALLY_CAPTURED,"Facial-hair color swatches visible, but full range is not proven.",direct source-media video inspection,NOT_PRODUCTION_DATA
EA Sports FC player creator footage,Body or physique settings,NOT_SEEN_IN_ANY_VIDEO,No body/physique menu is visible in the two FC videos.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Environment and version footage,PARTIALLY_CAPTURED,2K Create A Player UI is visible; title/version/platform proof screen is not shown.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Main player-creation path,PARTIALLY_CAPTURED,Create A Player is open; entry path is not shown.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Complete visible menu hierarchy,CAPTURED_WITH_LIMITATIONS,"Appearance, Hair, Skull, Brow, Ears, Eyes, Nose, Cheeks, Mouth, Facial Hair, Chin, Skin, Body, and Signature Editor are visible across clips.",direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Head or face presets,CAPTURED_WITH_LIMITATIONS,Head Selection grid and many face controls visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Skin options,CAPTURED_WITH_LIMITATIONS,Skin swatch grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Skin details or complexion,UNDETERMINED,Skin swatches visible; separate complexion/detail controls are not established.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Eye-related options,CAPTURED_WITH_LIMITATIONS,Eyes and brow/eyebrow controls visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Nose-related options,CAPTURED_WITH_LIMITATIONS,Nose grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Ear-related options,CAPTURED_WITH_LIMITATIONS,Ear grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Mouth-related options,CAPTURED_WITH_LIMITATIONS,Mouth and teeth controls visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Jaw-related options,NOT_SEEN_IN_ANY_VIDEO,A jaw-specific control is not visible in the inspected source-media videos.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Chin,CAPTURED_WITH_LIMITATIONS,Chin grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Eyebrow-related options,CAPTURED_WITH_LIMITATIONS,Brow/eyebrow controls visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Hairstyles,CAPTURED_WITH_LIMITATIONS,Hair grid visible with rotations.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Hair colors,PARTIALLY_CAPTURED,Edit Hair swatches/sliders visible; complete color range not proven.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Facial hair,CAPTURED_WITH_LIMITATIONS,Facial-hair grid visible with rotations.,direct source-media video inspection,NOT_PRODUCTION_DATA
