stable_candidate_id,category,native_order,review_readiness,review_ready_now,recapture_required,missing_evidence,missing_views,duplicate_or_near_duplicate,ordering_dispute,environment_version_gap,dependency_flag,source_video_traceable,production_eligible,second_verifier_status,deficiencies
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,,false,false,true,false,true,false,NOT_VERIFIED,ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,,false,false,true,false,true,false,NOT_VERIFIED,ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,,false,false,true,false,true,false,NOT_VERIFIED,ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,,false,false,true,false,true,false,NOT_VERIFIED,ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,,false,false,true,false,true,false,NOT_VERIFIED,ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,2,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,FRONT;LEFT_PROFILE;RIGHT_PROFILE,false,false,true,false,true,false,NOT_VERIFIED,MISSING_REQUIRED_VIEWS;ENVIRONMENT_VERSION_GAP;CANONICAL_SETTING_INCONSISTENCY;FRAMING_OR_VISIBILITY_LIMITATION;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,1,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,LEFT_PROFILE;RIGHT_PROFILE,false,true,true,false,true,false,NOT_VERIFIED,MISSING_REQUIRED_VIEWS;ENVIRONMENT_VERSION_GAP;ORDERING_DISPUTE;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,LEFT_PROFILE;RIGHT_PROFILE,true,true,true,false,true,false,NOT_VERIFIED,MISSING_REQUIRED_VIEWS;ENVIRONMENT_VERSION_GAP;DUPLICATE_REVIEW_REQUIRED;ORDERING_DISPUTE;CANONICAL_SETTING_INCONSISTENCY;FRAMING_OR_VISIBILITY_LIMITATION;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,3,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,LEFT_PROFILE;RIGHT_PROFILE,false,true,true,false,true,false,NOT_VERIFIED,MISSING_REQUIRED_VIEWS;ENVIRONMENT_VERSION_GAP;ORDERING_DISPUTE;CANONICAL_SETTING_INCONSISTENCY;FRAMING_OR_VISIBILITY_LIMITATION;LIGHTING_NOT_STANDARDIZED
CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,4,READY_FOR_SECOND_VERIFIER_REVIEW,true,true,false,LEFT_PROFILE;RIGHT_PROFILE,false,true,true,false,true,false,NOT_VERIFIED,MISSING_REQUIRED_VIEWS;ENVIRONMENT_VERSION_GAP;ORDERING_DISPUTE;CANONICAL_SETTING_INCONSISTENCY;LIGHTING_NOT_STANDARDIZED
