itemID,itemType,category,nativeLabel,classification,consistencyFingerprint,materialInconsistency,geometricMatchingEligible,geometricMatchingGate,blockingReasons
phase0-video-001,SOURCE_VIDEO,Source Video,01_Environment_and_Creation_Path.mp4,COMPARISON_LIMITED,b262dc6486b739da2fefaa143269f7bddda700851c8e7531f495ec73c6bee24a,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-002,SOURCE_VIDEO,Source Video,02_Head_Templates_Faces_01-12.mov,COMPARISON_LIMITED,c898f03f6979c50b7a31c40468c66e43ac76bf73c2158abb9e09865badfbb2f2,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-003,SOURCE_VIDEO,Source Video,03_Head_Templates_Faces_12-29.mov,COMPARISON_LIMITED,6a916ef193c0c206f0b1f041716e843d89ddad7fe83950135f3cde7e9955d1bd,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-004,SOURCE_VIDEO,Source Video,04_Skin_Tone.mp4,COMPARISON_LIMITED,45a42ce482155e8288878d1860dd3492b51b22f4c2694d013072574d8405fbd1,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-005,SOURCE_VIDEO,Source Video,05_Skin_Details.mp4,COMPARISON_LIMITED,b81b8657d419b4aa3a9d75cea4e1073ad49a72696444a75d5b7402d4d9e503fd,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-006,SOURCE_VIDEO,Source Video,06_Eye_Shape.mp4,COMPARISON_LIMITED,0c5043f7f87d30f80ba31e78a31e0a54657714bdf9a3f91c7e0f8f72ee7b7521,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-007,SOURCE_VIDEO,Source Video,07_Eye_Color.mp4,COMPARISON_LIMITED,d8b55d58a00fc97d040d2bf9531b3a22c6ba0f0c4def40c8a9421182b909a0a2,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-008,SOURCE_VIDEO,Source Video,08_Nose.mp4,COMPARISON_LIMITED,e5c9a78f723419847f16f35c1b9612cedbcba9063b8164158af4188cc942719f,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-009,SOURCE_VIDEO,Source Video,09_Ear_Shape.mp4,COMPARISON_LIMITED,7c8a852ab8260c4ae7333273b7d49a9d0b796cc2b182cd46446532af078a112b,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-010,SOURCE_VIDEO,Source Video,duplicate-reference-of-05_Skin_Details.mp4,COMPARISON_LIMITED,b1ade16cee0aa15509ef17aebcb201d1963805fff7eff4912898aa93c9e7294d,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
phase0-video-011,SOURCE_VIDEO,Source Video,duplicate-reference-of-04_Skin_Tone.mp4,COMPARISON_LIMITED,d8ffee46965e5111ad981e2ec0e6bab8e3ec7ae2cf8a3874038e1691d07ef777,false,false,NOT_GEOMETRIC_MATCHING_INPUT,
