task_id,group,priority,candidate_or_menu_id,affected_candidate_ids,category,required_view,recommended_file_name,related_source_video_timestamp,why_blocked,evidence_will_clear_blocker,source_issue_ids,source_capture_ids
CF27-REC-GLOBAL-ENVIRONMENT-VERSION,Environment evidence,P0,CF27_ENVIRONMENT_VERSION_PATCH,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG;CF27_XBOXUNKNOWN_RTG_POSITION_QB;CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE;CF27_XBOXUNKNOWN_RTG_EARSHAPE_001;CF27_XBOXUNKNOWN_RTG_EARSHAPE_002;CF27_XBOXUNKNOWN_RTG_EARSHAPE_003;CF27_XBOXUNKNOWN_RTG_EARSHAPE_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_001;CF27_XBOXUNKNOWN_RTG_EYECOLOR_002;CF27_XBOXUNKNOWN_RTG_EYECOLOR_003;CF27_XBOXUNKNOWN_RTG_EYECOLOR_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_005;CF27_XBOXUNKNOWN_RTG_EYECOLOR_006;CF27_XBOXUNKNOWN_RTG_EYECOLOR_007;CF27_XBOXUNKNOWN_RTG_EYESHAPE_001;CF27_XBOXUNKNOWN_RTG_EYESHAPE_002;CF27_XBOXUNKNOWN_RTG_EYESHAPE_003;CF27_XBOXUNKNOWN_RTG_EYESHAPE_004;CF27_XBOXUNKNOWN_RTG_EYESHAPE_005;CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS;CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE;CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN;CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY;CF27_XBOXUNKNOWN_RTG_HEAD_001;CF27_XBOXUNKNOWN_RTG_HEAD_002;CF27_XBOXUNKNOWN_RTG_HEAD_003;CF27_XBOXUNKNOWN_RTG_HEAD_004;CF27_XBOXUNKNOWN_RTG_HEAD_005;CF27_XBOXUNKNOWN_RTG_HEAD_006;CF27_XBOXUNKNOWN_RTG_HEAD_007;CF27_XBOXUNKNOWN_RTG_HEAD_008;CF27_XBOXUNKNOWN_RTG_HEAD_009;CF27_XBOXUNKNOWN_RTG_HEAD_010;CF27_XBOXUNKNOWN_RTG_HEAD_011;CF27_XBOXUNKNOWN_RTG_HEAD_012;CF27_XBOXUNKNOWN_RTG_HEAD_013;CF27_XBOXUNKNOWN_RTG_HEAD_014;CF27_XBOXUNKNOWN_RTG_HEAD_016;CF27_XBOXUNKNOWN_RTG_HEAD_017;CF27_XBOXUNKNOWN_RTG_HEAD_018;CF27_XBOXUNKNOWN_RTG_HEAD_021;CF27_XBOXUNKNOWN_RTG_HEAD_022;CF27_XBOXUNKNOWN_RTG_HEAD_023;CF27_XBOXUNKNOWN_RTG_HEAD_024;CF27_XBOXUNKNOWN_RTG_HEAD_027;CF27_XBOXUNKNOWN_RTG_HEAD_028;CF27_XBOXUNKNOWN_RTG_HEAD_029;CF27_XBOXUNKNOWN_RTG_HEAD_030;CF27_XBOXUNKNOWN_RTG_HEAD_031;CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE;CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY;CF27_XBOXUNKNOWN_RTG_NOSE_001;CF27_XBOXUNKNOWN_RTG_NOSE_002;CF27_XBOXUNKNOWN_RTG_NOSE_003;CF27_XBOXUNKNOWN_RTG_NOSE_004;CF27_XBOXUNKNOWN_RTG_NOSE_005;CF27_XBOXUNKNOWN_RTG_NOSE_006;CF27_XBOXUNKNOWN_RTG_NOSE_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_001;CF27_XBOXUNKNOWN_RTG_SKINTONE_002;CF27_XBOXUNKNOWN_RTG_SKINTONE_003;CF27_XBOXUNKNOWN_RTG_SKINTONE_004;CF27_XBOXUNKNOWN_RTG_SKINTONE_006;CF27_XBOXUNKNOWN_RTG_SKINTONE_007;CF27_XBOXUNKNOWN_RTG_SKINTONE_008;CF27_XBOXUNKNOWN_RTG_SKINTONE_009;CF27_XBOXUNKNOWN_RTG_SKINTONE_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_011;CF27_XBOXUNKNOWN_RTG_SKINTONE_012;CF27_XBOXUNKNOWN_RTG_SKINTONE_013;CF27_XBOXUNKNOWN_RTG_SKINTONE_017;CF27_XBOXUNKNOWN_RTG_SKINTONE_018;CF27_XBOXUNKNOWN_RTG_SKINTONE_019;CF27_XBOXUNKNOWN_RTG_SKINTONE_020;CF27_XBOXUNKNOWN_RTG_SKINTONE_021;CF27_XBOXUNKNOWN_RTG_SKINTONE_022;CF27_XBOXUNKNOWN_RTG_SKINTONE_023;CF27_XBOXUNKNOWN_RTG_SKINTONE_024;CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Environment metadata,ENVIRONMENT_SCREEN,GFM-CF27-ENVIRONMENT-VERSION-PATCH-YYYYMMDD-partNN.mp4,,Production release cannot bind observations to a reproducible game version and patch.,"Direct console/game screens showing platform, game version, patch/update state, mode, creation path, and safe account/entitlement context.",,
CF27-REC-GLOBAL-CREATION-PATH,Creation-path evidence,P0,CF27_CREATION_PATH_CANONICAL,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG;CF27_XBOXUNKNOWN_RTG_POSITION_QB;CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE;CF27_XBOXUNKNOWN_RTG_EARSHAPE_001;CF27_XBOXUNKNOWN_RTG_EARSHAPE_002;CF27_XBOXUNKNOWN_RTG_EARSHAPE_003;CF27_XBOXUNKNOWN_RTG_EARSHAPE_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_001;CF27_XBOXUNKNOWN_RTG_EYECOLOR_002;CF27_XBOXUNKNOWN_RTG_EYECOLOR_003;CF27_XBOXUNKNOWN_RTG_EYECOLOR_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_005;CF27_XBOXUNKNOWN_RTG_EYECOLOR_006;CF27_XBOXUNKNOWN_RTG_EYECOLOR_007;CF27_XBOXUNKNOWN_RTG_EYESHAPE_001;CF27_XBOXUNKNOWN_RTG_EYESHAPE_002;CF27_XBOXUNKNOWN_RTG_EYESHAPE_003;CF27_XBOXUNKNOWN_RTG_EYESHAPE_004;CF27_XBOXUNKNOWN_RTG_EYESHAPE_005;CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS;CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE;CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN;CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY;CF27_XBOXUNKNOWN_RTG_HEAD_001;CF27_XBOXUNKNOWN_RTG_HEAD_002;CF27_XBOXUNKNOWN_RTG_HEAD_003;CF27_XBOXUNKNOWN_RTG_HEAD_004;CF27_XBOXUNKNOWN_RTG_HEAD_005;CF27_XBOXUNKNOWN_RTG_HEAD_006;CF27_XBOXUNKNOWN_RTG_HEAD_007;CF27_XBOXUNKNOWN_RTG_HEAD_008;CF27_XBOXUNKNOWN_RTG_HEAD_009;CF27_XBOXUNKNOWN_RTG_HEAD_010;CF27_XBOXUNKNOWN_RTG_HEAD_011;CF27_XBOXUNKNOWN_RTG_HEAD_012;CF27_XBOXUNKNOWN_RTG_HEAD_013;CF27_XBOXUNKNOWN_RTG_HEAD_014;CF27_XBOXUNKNOWN_RTG_HEAD_016;CF27_XBOXUNKNOWN_RTG_HEAD_017;CF27_XBOXUNKNOWN_RTG_HEAD_018;CF27_XBOXUNKNOWN_RTG_HEAD_021;CF27_XBOXUNKNOWN_RTG_HEAD_022;CF27_XBOXUNKNOWN_RTG_HEAD_023;CF27_XBOXUNKNOWN_RTG_HEAD_024;CF27_XBOXUNKNOWN_RTG_HEAD_027;CF27_XBOXUNKNOWN_RTG_HEAD_028;CF27_XBOXUNKNOWN_RTG_HEAD_029;CF27_XBOXUNKNOWN_RTG_HEAD_030;CF27_XBOXUNKNOWN_RTG_HEAD_031;CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE;CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY;CF27_XBOXUNKNOWN_RTG_NOSE_001;CF27_XBOXUNKNOWN_RTG_NOSE_002;CF27_XBOXUNKNOWN_RTG_NOSE_003;CF27_XBOXUNKNOWN_RTG_NOSE_004;CF27_XBOXUNKNOWN_RTG_NOSE_005;CF27_XBOXUNKNOWN_RTG_NOSE_006;CF27_XBOXUNKNOWN_RTG_NOSE_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_001;CF27_XBOXUNKNOWN_RTG_SKINTONE_002;CF27_XBOXUNKNOWN_RTG_SKINTONE_003;CF27_XBOXUNKNOWN_RTG_SKINTONE_004;CF27_XBOXUNKNOWN_RTG_SKINTONE_006;CF27_XBOXUNKNOWN_RTG_SKINTONE_007;CF27_XBOXUNKNOWN_RTG_SKINTONE_008;CF27_XBOXUNKNOWN_RTG_SKINTONE_009;CF27_XBOXUNKNOWN_RTG_SKINTONE_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_011;CF27_XBOXUNKNOWN_RTG_SKINTONE_012;CF27_XBOXUNKNOWN_RTG_SKINTONE_013;CF27_XBOXUNKNOWN_RTG_SKINTONE_017;CF27_XBOXUNKNOWN_RTG_SKINTONE_018;CF27_XBOXUNKNOWN_RTG_SKINTONE_019;CF27_XBOXUNKNOWN_RTG_SKINTONE_020;CF27_XBOXUNKNOWN_RTG_SKINTONE_021;CF27_XBOXUNKNOWN_RTG_SKINTONE_022;CF27_XBOXUNKNOWN_RTG_SKINTONE_023;CF27_XBOXUNKNOWN_RTG_SKINTONE_024;CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Creation paths,MENU,GFM-CF27-CREATION-PATH-CANONICAL-YYYYMMDD-partNN.mp4,,Creation path and environment context must be reproducible before production publication.,Continuous menu evidence from Road to Glory entry through the supported Create Player appearance path.,,
CF27-REC-GLOBAL-MENU-MAP,Menu-map evidence,P0,GFM-CAP-001,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE;CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG;CF27_XBOXUNKNOWN_RTG_POSITION_QB;CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE;CF27_XBOXUNKNOWN_RTG_EARSHAPE_001;CF27_XBOXUNKNOWN_RTG_EARSHAPE_002;CF27_XBOXUNKNOWN_RTG_EARSHAPE_003;CF27_XBOXUNKNOWN_RTG_EARSHAPE_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_001;CF27_XBOXUNKNOWN_RTG_EYECOLOR_002;CF27_XBOXUNKNOWN_RTG_EYECOLOR_003;CF27_XBOXUNKNOWN_RTG_EYECOLOR_004;CF27_XBOXUNKNOWN_RTG_EYECOLOR_005;CF27_XBOXUNKNOWN_RTG_EYECOLOR_006;CF27_XBOXUNKNOWN_RTG_EYECOLOR_007;CF27_XBOXUNKNOWN_RTG_EYESHAPE_001;CF27_XBOXUNKNOWN_RTG_EYESHAPE_002;CF27_XBOXUNKNOWN_RTG_EYESHAPE_003;CF27_XBOXUNKNOWN_RTG_EYESHAPE_004;CF27_XBOXUNKNOWN_RTG_EYESHAPE_005;CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS;CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE;CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN;CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY;CF27_XBOXUNKNOWN_RTG_HEAD_001;CF27_XBOXUNKNOWN_RTG_HEAD_002;CF27_XBOXUNKNOWN_RTG_HEAD_003;CF27_XBOXUNKNOWN_RTG_HEAD_004;CF27_XBOXUNKNOWN_RTG_HEAD_005;CF27_XBOXUNKNOWN_RTG_HEAD_006;CF27_XBOXUNKNOWN_RTG_HEAD_007;CF27_XBOXUNKNOWN_RTG_HEAD_008;CF27_XBOXUNKNOWN_RTG_HEAD_009;CF27_XBOXUNKNOWN_RTG_HEAD_010;CF27_XBOXUNKNOWN_RTG_HEAD_011;CF27_XBOXUNKNOWN_RTG_HEAD_012;CF27_XBOXUNKNOWN_RTG_HEAD_013;CF27_XBOXUNKNOWN_RTG_HEAD_014;CF27_XBOXUNKNOWN_RTG_HEAD_016;CF27_XBOXUNKNOWN_RTG_HEAD_017;CF27_XBOXUNKNOWN_RTG_HEAD_018;CF27_XBOXUNKNOWN_RTG_HEAD_021;CF27_XBOXUNKNOWN_RTG_HEAD_022;CF27_XBOXUNKNOWN_RTG_HEAD_023;CF27_XBOXUNKNOWN_RTG_HEAD_024;CF27_XBOXUNKNOWN_RTG_HEAD_027;CF27_XBOXUNKNOWN_RTG_HEAD_028;CF27_XBOXUNKNOWN_RTG_HEAD_029;CF27_XBOXUNKNOWN_RTG_HEAD_030;CF27_XBOXUNKNOWN_RTG_HEAD_031;CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE;CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY;CF27_XBOXUNKNOWN_RTG_NOSE_001;CF27_XBOXUNKNOWN_RTG_NOSE_002;CF27_XBOXUNKNOWN_RTG_NOSE_003;CF27_XBOXUNKNOWN_RTG_NOSE_004;CF27_XBOXUNKNOWN_RTG_NOSE_005;CF27_XBOXUNKNOWN_RTG_NOSE_006;CF27_XBOXUNKNOWN_RTG_NOSE_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009;CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_001;CF27_XBOXUNKNOWN_RTG_SKINTONE_002;CF27_XBOXUNKNOWN_RTG_SKINTONE_003;CF27_XBOXUNKNOWN_RTG_SKINTONE_004;CF27_XBOXUNKNOWN_RTG_SKINTONE_006;CF27_XBOXUNKNOWN_RTG_SKINTONE_007;CF27_XBOXUNKNOWN_RTG_SKINTONE_008;CF27_XBOXUNKNOWN_RTG_SKINTONE_009;CF27_XBOXUNKNOWN_RTG_SKINTONE_010;CF27_XBOXUNKNOWN_RTG_SKINTONE_011;CF27_XBOXUNKNOWN_RTG_SKINTONE_012;CF27_XBOXUNKNOWN_RTG_SKINTONE_013;CF27_XBOXUNKNOWN_RTG_SKINTONE_017;CF27_XBOXUNKNOWN_RTG_SKINTONE_018;CF27_XBOXUNKNOWN_RTG_SKINTONE_019;CF27_XBOXUNKNOWN_RTG_SKINTONE_020;CF27_XBOXUNKNOWN_RTG_SKINTONE_021;CF27_XBOXUNKNOWN_RTG_SKINTONE_022;CF27_XBOXUNKNOWN_RTG_SKINTONE_023;CF27_XBOXUNKNOWN_RTG_SKINTONE_024;CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Appearance menu hierarchy,MENU,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,,Menu-map boundaries and scroll continuations are not production complete.,"Readable menu labels, first/final visible rows, and scroll/wrap proof without inferred categories.",,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-001,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_001,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@10-19,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-002,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_002,CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@20-28,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-003,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_003,CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@29-38,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-004,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_004,CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@39-48,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-005,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_005,CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@69-74,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-006,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_006,CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@60-68,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
CF27-REC-cf27-xboxunknown-rtg-head-007,Head records,P0,CF27_XBOXUNKNOWN_RTG_HEAD_007,CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,FRONT;LEFT_3Q;LEFT_PROFILE;RIGHT_3Q;RIGHT_PROFILE;REAR,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,phase0-video-002@54-59,"Missing required production view(s): FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR. Missing environment/version field(s): gameVersion, patch. Canonical setting consistency is FAIL. Framing/visibility status is FAIL. Lighting status is UNRESOLVED_NOT_CAPTURE_STANDARDIZED.","direct game version, patch, platform, mode, and creation-path evidence; stable required view evidence: FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_3Q, RIGHT_PROFILE, REAR",issue-phase0-primary-review-category-incomplete;issue-phase0-primary-review-environment-unresolved,GFM-CAP-001
