targetNumber,targetID,targetName,category,sourceVideoID,timestampRange,observation,originalFilename,relativePath,sha256,durationSeconds,resolution,codec,timelineRecordsMatched,legacyTimelineEventsAvailable,targetClassification,productionStatus
1,REQ-VERSION-PATCH-PLATFORM,"Game title, version, update, and platform proof",Environment evidence,phase0-video-001,0-73.57,Road to Glory creation path and create-player entry are visible.,01_Environment_and_Creation_Path.MP4,,6f42d3ef2572810fc09ac5138970dee5f325c539925f084a130d3fdcf7c2a0b2,73.57,,,12,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
1,REQ-VERSION-PATCH-PLATFORM,"Game title, version, update, and platform proof",Environment evidence,CF27_XBOX_SOURCE_2026_08_02_001,0-4,College Football 27 create-player appearance UI is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
1,REQ-VERSION-PATCH-PLATFORM,"Game title, version, update, and platform proof",Environment evidence,CF27_XBOX_SOURCE_2026_08_02_002,0-4,Hair-row appearance UI is visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
1,REQ-VERSION-PATCH-PLATFORM,"Game title, version, update, and platform proof",Environment evidence,CF27_XBOX_SOURCE_2026_08_02_003,0-4,Styles/body-context UI is visible.,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,,90a29684f972dff7f41c33fb6457ee545a65c94292647ff9d91be1f1bc168586,163.8,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
2,REQ-ORDER-head-template,"Head Template native order, first/final selector boundaries, and wrap/no-wrap proof",Head records,phase0-video-002,10-108.8,Head Template selected labels are directly readable for the first portion of the selector.,02_Appearance_Menu_Part_1.mp4.MOV,,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,108.8,,,13,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
2,REQ-ORDER-head-template,"Head Template native order, first/final selector boundaries, and wrap/no-wrap proof",Head records,phase0-video-003,0-133.02,Head Template selected labels continue through Face 29 and preserve overlap with part 1.,02_Appearance_Menu_Part_2.mp4.MOV,,c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302,133.02,,,15,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
2,REQ-ORDER-head-template,"Head Template native order, first/final selector boundaries, and wrap/no-wrap proof",Head records,CF27_XBOX_SOURCE_2026_08_02_001,5-64,Additional Head Template traversal is visible in August source footage.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
3,REQ-VIEWS-heads,Head Template standardized required views,Head records,phase0-video-002,10-108.8,Head Template preview rotates through multiple angles for early faces.,02_Appearance_Menu_Part_1.mp4.MOV,,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,108.8,,,13,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
3,REQ-VIEWS-heads,Head Template standardized required views,Head records,phase0-video-003,0-133.02,Head Template preview rotates through multiple angles for later faces.,02_Appearance_Menu_Part_2.mp4.MOV,,c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302,133.02,,,15,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
4,REQ-ORDER-skin-tone,Skin Tone native order and boundaries,Skin tone,phase0-video-004,8-53.82,Selected Skin Tone labels are directly readable.,03_Appearance_Skin_Tone.MP4,,a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146,53.82,,,22,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
