targetNumber,targetID,targetName,category,primaryClassification,existingSourceVideos,timestampsInspected,derivativeFramesInspected,clearlyShown,notShown,canFrameReextractionSolveIt,canSecondVerifierReviewSolveIt,requiresNewRecording,correspondingRecaptureID,finalOwnerRecordingQueueStatus,exactNextAction,productionEligibility
1,REQ-VERSION-PATCH-PLATFORM,"Game title, version, update, and platform proof",Environment evidence,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-001; CF27_XBOX_SOURCE_2026_08_02_001; CF27_XBOX_SOURCE_2026_08_02_002; CF27_XBOX_SOURCE_2026_08_02_003,phase0-video-001 @ 0-73.57; CF27_XBOX_SOURCE_2026_08_02_001 @ 0-4; CF27_XBOX_SOURCE_2026_08_02_002 @ 0-4; CF27_XBOX_SOURCE_2026_08_02_003 @ 0-4,CF27_XBOX_SOURCE_2026_08_02_001_tl_001_appearance_menu_0p5s.png,Game context and CF27 create-player UI are visible across the existing masters.,"Executable version, patch/title update, console platform screen, online/account state, edition, and region are not directly visible.",no,no,yes,CF27-MIN-RECAP-008,IN_OWNER_MINIMUM_RECORDING_GUIDE,Record one short environment clip showing platform and game version/update text while avoiding private account details.,NOT_ELIGIBLE
2,REQ-ORDER-head-template,"Head Template native order, first/final selector boundaries, and wrap/no-wrap proof",Head records,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-002; phase0-video-003; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-002 @ 10-108.8; phase0-video-003 @ 0-133.02; CF27_XBOX_SOURCE_2026_08_02_001 @ 5-64,phase0 head-template derivative evidence referenced by the production-verification queue,Selected Head Template labels and continuity overlap are visible in existing footage.,"A single complete recount proving selector beginning, final value, and wrap/no-wrap behavior is still not production-proven.",no,no,yes,CF27-MIN-RECAP-011,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Head Template boundary clip that shows first value, every missing native transition needed for continuity, final value, and wrap/no-wrap behavior.",NOT_ELIGIBLE
3,REQ-VIEWS-heads,Head Template standardized required views,Head records,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-002; phase0-video-003,phase0-video-002 @ 10-108.8; phase0-video-003 @ 0-133.02,phase0 head-template derivatives; production_verification_queue missingViews for head records,Existing videos contain multi-angle head preview evidence for many head records.,The current derivative set does not establish every required view for every affected head candidate listed in the verifier queue.,partial,no,yes,CF27-MIN-RECAP-012,IN_OWNER_MINIMUM_RECORDING_GUIDE,Extract any missing views from the existing masters first; only record the specific head/view pairs that remain missing after extraction.,NOT_ELIGIBLE
4,REQ-ORDER-skin-tone,Skin Tone native order and boundaries,Skin tone,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-004; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-004 @ 8-53.82; CF27_XBOX_SOURCE_2026_08_02_001 @ 65-119,existing category derivatives; count/order audit rows,Skin tone selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-017,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Skin tone boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
5,REQ-ORDER-skin-details,Skin Details native order and boundaries,Skin details,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-005; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-005 @ 8-31.72; CF27_XBOX_SOURCE_2026_08_02_001 @ 120-144,existing category derivatives; count/order audit rows,Skin details selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-016,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Skin details boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
6,REQ-ORDER-eye-shape,Eye Shape native order and boundaries,Eye shape,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-006; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-006 @ 14-24.93; CF27_XBOX_SOURCE_2026_08_02_001 @ 145-159,existing category derivatives; count/order audit rows,Eye shape selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-005,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Eye shape boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
7,REQ-ORDER-eye-color,Eye Color native order and boundaries,Eye color,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-007; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-007 @ 12-29.33; CF27_XBOX_SOURCE_2026_08_02_001 @ 160-184,existing category derivatives; count/order audit rows,Eye color selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-004,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Eye color boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
8,REQ-ORDER-ear-shape,Ear Shape native order and boundaries,Ear shape,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-009; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-009 @ 16-30.21; CF27_XBOX_SOURCE_2026_08_02_001 @ 200-209,existing category derivatives; count/order audit rows,Ear shape selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-003,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Ear shape boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
9,REQ-VIEWS-ear-shape,Ear Shape profile evidence,Ear shape,EXISTING_FRAME_EXTRACTION_REQUIRED,phase0-video-009; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-009 @ 16-30.21; CF27_XBOX_SOURCE_2026_08_02_001 @ 200-209,phase0 ear-shape derivative frames; CF27_XBOX_SOURCE_2026_08_02_001_tl_008 ear-shape derivative,Existing footage contains the Ear Shape menu and side/profile-oriented character preview.,Current derivatives do not yet isolate the requested profile frames for every affected ear-shape candidate.,yes,yes,no,,REMOVED_FROM_OWNER_RECORDING_GUIDE,Extract best full-resolution profile frames from the existing Ear Shape masters and route those derivatives to verifier review.,NOT_ELIGIBLE
10,REQ-ORDER-nose,Nose native order and boundaries,Nose,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-008; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-008 @ 14-32.45; CF27_XBOX_SOURCE_2026_08_02_001 @ 185-199,existing category derivatives; count/order audit rows,Nose selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-014,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Nose boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
