audit_row_id,row_type,candidate_or_requirement_id,category,native_label_index_order,native_order,existing_source_video,start_timestamp,end_timestamp,existing_derivative_frame_references,clearly_visible,not_visible,required_views,available_views,missing_views,menu_label_visible,native_order_visible,environment_metadata_available,framing_quality,lighting_consistency,obstruction_notes,hairstyle_consistency,facial_hair_consistency,eye_black_or_accessory_obstruction,motion_or_compression_issue,primary_classification,confidence_in_classification,can_frame_reextraction_solve_it,can_second_verifier_review_solve_it,requires_new_recording,exact_reason,exact_next_action,production_eligibility,blocking_reason
video-CF27_XBOX_SOURCE_2026_08_02_001,VIDEO_FILE,CF27_XBOX_SOURCE_2026_08_02_001,Source-video inventory,,,CF27_XBOX_SOURCE_2026_08_02_001,0,240.24,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-001; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-002; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-003; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-004; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-005; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-006; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-007; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-008; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-009; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-010; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011; phase0-frame-reextract-req-views-mouth-shape-front; phase0-source-CF27_XBOX_SOURCE_2026_08_02_001,"EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4 inventory row records 240.24s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5.",,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,OPENS_WITH_FFMPEG,CLEAR_EXISTING_EVIDENCE,high,yes,yes,no,The local master opens with ffmpeg and has manifest metadata/hash coverage.,Use this source for timestamp-level review and frame re-extraction where needed.,NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-CF27_XBOX_SOURCE_2026_08_02_002,VIDEO_FILE,CF27_XBOX_SOURCE_2026_08_02_002,Source-video inventory,,,CF27_XBOX_SOURCE_2026_08_02_002,0,235.35,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-003; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-004; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-005; phase0-frame-reextract-req-views-facial-hair-colors-front; phase0-frame-reextract-req-views-hair-colors-front; phase0-source-CF27_XBOX_SOURCE_2026_08_02_002,"EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4 inventory row records 235.35s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50.",,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,OPENS_WITH_FFMPEG,CLEAR_EXISTING_EVIDENCE,high,yes,yes,no,The local master opens with ffmpeg and has manifest metadata/hash coverage.,Use this source for timestamp-level review and frame re-extraction where needed.,NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-CF27_XBOX_SOURCE_2026_08_02_003,VIDEO_FILE,CF27_XBOX_SOURCE_2026_08_02_003,Source-video inventory,,,CF27_XBOX_SOURCE_2026_08_02_003,0,163.8,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_003-tl-002; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_003-tl-003; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_003-tl-004; phase0-frame-CF27_XBOX_SOURCE_2026_08_02_003-tl-005; phase0-source-CF27_XBOX_SOURCE_2026_08_02_003,"EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4 inventory row records 163.8s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 90a29684f972dff7f41c33fb6457ee545a65c94292647ff9d91be1f1bc168586.",,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,OPENS_WITH_FFMPEG,CLEAR_EXISTING_EVIDENCE,high,yes,yes,no,The local master opens with ffmpeg and has manifest metadata/hash coverage.,Use this source for timestamp-level review and frame re-extraction where needed.,NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-001,VIDEO_FILE,phase0-video-001,Source-video inventory,,,phase0-video-001,0,73.57,phase0-frame-video-001-tl-011; phase0-frame-video-001-tl-012; phase0-source-phase0-video-001,"01_Environment_and_Creation_Path.MP4 inventory row records 73.57s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 6f42d3ef2572810fc09ac5138970dee5f325c539925f084a130d3fdcf7c2a0b2.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-002,VIDEO_FILE,phase0-video-002,Source-video inventory,,,phase0-video-002,0,108.8,phase0-frame-video-002-tl-004; phase0-frame-video-002-tl-005; phase0-frame-video-002-tl-006; phase0-frame-video-002-tl-007; phase0-frame-video-002-tl-008; phase0-frame-video-002-tl-009; phase0-frame-video-002-tl-010; phase0-frame-video-002-tl-011; phase0-frame-video-002-tl-012; phase0-frame-video-002-tl-013; phase0-frame-video-002-tl-014; phase0-frame-video-002-tl-015; phase0-frame-video-002-tl-016; phase0-source-phase0-video-002,"02_Appearance_Menu_Part_1.mp4.MOV inventory row records 108.8s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-003,VIDEO_FILE,phase0-video-003,Source-video inventory,,,phase0-video-003,0,133.02,phase0-frame-video-003-tl-001; phase0-frame-video-003-tl-002; phase0-frame-video-003-tl-003; phase0-frame-video-003-tl-004; phase0-frame-video-003-tl-005; phase0-frame-video-003-tl-006; phase0-frame-video-003-tl-007; phase0-frame-video-003-tl-008; phase0-frame-video-003-tl-009; phase0-frame-video-003-tl-010; phase0-frame-video-003-tl-011; phase0-frame-video-003-tl-012; phase0-frame-video-003-tl-013; phase0-frame-video-003-tl-014; phase0-frame-video-003-tl-015; phase0-source-phase0-video-003,"02_Appearance_Menu_Part_2.mp4.MOV inventory row records 133.02s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 c348b96b1414927fca5ab12f8a65cc7668a6fdb22a2622c99e11a984d819a302.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-004,VIDEO_FILE,phase0-video-004,Source-video inventory,,,phase0-video-004,0,53.82,phase0-frame-reextract-req-views-skin-tone-front; phase0-frame-video-004-tl-002; phase0-frame-video-004-tl-003; phase0-frame-video-004-tl-004; phase0-frame-video-004-tl-005; phase0-frame-video-004-tl-006; phase0-frame-video-004-tl-007; phase0-frame-video-004-tl-008; phase0-frame-video-004-tl-009; phase0-frame-video-004-tl-010; phase0-frame-video-004-tl-011; phase0-frame-video-004-tl-012; phase0-frame-video-004-tl-013; phase0-frame-video-004-tl-014; phase0-frame-video-004-tl-015; phase0-frame-video-004-tl-016; phase0-frame-video-004-tl-017; phase0-frame-video-004-tl-018; phase0-frame-video-004-tl-019; phase0-frame-video-004-tl-020; phase0-frame-video-004-tl-021; phase0-frame-video-004-tl-022; phase0-frame-video-004-tl-023; phase0-source-phase0-video-004,"03_Appearance_Skin_Tone.MP4 inventory row records 53.82s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 a65e57da173c1221c9e6472d3cc17ff645871d22ffd2b37fca4f57f83bd75146.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-005,VIDEO_FILE,phase0-video-005,Source-video inventory,,,phase0-video-005,0,31.72,phase0-frame-reextract-req-views-skin-details-front; phase0-frame-video-005-tl-002; phase0-frame-video-005-tl-003; phase0-frame-video-005-tl-004; phase0-frame-video-005-tl-005; phase0-frame-video-005-tl-006; phase0-frame-video-005-tl-007; phase0-frame-video-005-tl-008; phase0-frame-video-005-tl-009; phase0-frame-video-005-tl-010; phase0-frame-video-005-tl-011; phase0-source-phase0-video-005,"04_Appearance_Skin_Details.MP4 inventory row records 31.72s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-006,VIDEO_FILE,phase0-video-006,Source-video inventory,,,phase0-video-006,0,24.93,phase0-frame-reextract-req-views-eye-shape-front; phase0-frame-video-006-tl-002; phase0-frame-video-006-tl-003; phase0-frame-video-006-tl-004; phase0-frame-video-006-tl-005; phase0-frame-video-006-tl-006; phase0-source-phase0-video-006,"45926e39-7553-43b1-803a-6ddc787c63dd.MP4 inventory row records 24.93s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-007,VIDEO_FILE,phase0-video-007,Source-video inventory,,,phase0-video-007,0,29.33,phase0-frame-reextract-req-views-eye-color-front; phase0-frame-video-007-tl-002; phase0-frame-video-007-tl-003; phase0-frame-video-007-tl-004; phase0-frame-video-007-tl-005; phase0-frame-video-007-tl-006; phase0-frame-video-007-tl-007; phase0-frame-video-007-tl-008; phase0-source-phase0-video-007,"352535 inventory row records 29.33s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 c07fdab8d65b19859ae5985dc4fb06bb9919aecf597996ab74463bc6020acfd3.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
