order,clipID,recommendedFilename,startingScreen,exactMenu,firstOption,finalOption,completeCountRequired,requiredCameraRotations,pauseDuration,canonicalPlayerSettings,eyeBlackMustBeRemoved,hairOrFacialHairMustBeChanged,rearViewRequired,expectedClipLength,continuityOverlapWithPriorClip,completionCheckbox,relatedRecaptureIDs,productionStatus,verificationStatus
1,XR-001,CF27_XBOX_ENV_CONSOLE_MODEL_OS_UPDATE_YYYYMMDD.mp4,Xbox Home,"Xbox Settings > System > Console info, then System > Updates",Console info screen,Console update status screen,false,None,5 seconds on each readable system screen,Not applicable,Not applicable,No,false,1-2 minutes,Start from Xbox Home; no prior clip overlap needed.,"[ ] Console model, console OS, and update state are visible without recording secrets.",RQ-001,NOT_PRODUCTION_DATA,NOT_VERIFIED
2,XR-002,CF27_XBOX_ENV_GAME_VERSION_ENTITLEMENTS_YYYYMMDD.mp4,Xbox Home on the College Football 27 tile,"Xbox game card/manage-game screens, then College Football 27 title or version screen if visible",College Football 27 tile or manage-game entry,Visible game title/version/update or installed-content screen,false,None,"5 seconds per version, update, edition, or entitlement screen",Not applicable,Not applicable,No,false,2-4 minutes,Begin at the same tile/context used after XR-001.,"[ ] Game executable/version, patch/update state, edition/copy type, and entitlement state are visible or clearly unavailable.",RQ-002|RQ-003,NOT_PRODUCTION_DATA,NOT_VERIFIED
3,XR-003,CF27_XBOX_RTG_PATH_PLAYER_BODY_CONTROLS_YYYYMMDD.mp4,College Football 27 main interface,"Road to Glory > Road to Glory setup > Journey type > Position > QB > Create Player > Player, then visible height/weight/body/physique controls",Road to Glory entry,Last visible Player/body/physique control reached in this path,true,Only if the game shows a body preview; pause front-facing first,3 seconds on every selected path screen and 5 seconds on each control boundary/default,Use the same Road to Glory setup path as current evidence: QB path if visible; record exact visible position/archetype/body values rather than guessing.,Not yet,No,false,6-10 minutes,Begin from title/main interface after XR-002; keep the first Road to Glory screen visible.,"[ ] Path, height, weight, body type, physique/body controls, defaults, restrictions, and visible dependencies are recorded.",RQ-017|RQ-018|RQ-020,NOT_PRODUCTION_DATA,NOT_VERIFIED
4,XR-004,CF27_XBOX_APPEARANCE_HEADSKIN_MENU_MAP_YYYYMMDD.mp4,Create Player > Player screen from XR-003,Player > Appearance > Head & Skin,Appearance entry,Last visible Head & Skin submenu item after any scrolling,true,None for menu map; keep labels readable,3 seconds on every submenu list or scroll continuation,Do not change appearance values in this clip except to enter/exit menus.,No,No,false,3-5 minutes,Start at the Player/Appearance area reached in XR-003.,"[ ] Appearance, Head & Skin, visible submenus, native order, scrolling, locks, and missing categories are recorded.",RQ-009|RQ-010|RQ-011|RQ-012,NOT_PRODUCTION_DATA,NOT_VERIFIED
5,XR-005,CF27_XBOX_HEAD_TEMPLATE_FACE29_TO_BOUNDARY_YYYYMMDD.mp4,"Appearance > Head & Skin > Head Template, positioned on Face 29 if possible",Player > Appearance > Head & Skin > Head Template,Face 29,"Proven final selected Head Template value, then boundary or wrap evidence",true,Menu evidence only; no character rotation required unless quick front preview is stable,3 seconds on each selected value; 5 seconds on final/wrap evidence,"Keep current settings unchanged; this is order/count evidence, not standardized comparison capture.",No,No,false,"5-12 minutes, depending on remaining option count",Start on Face 29 so it overlaps the prior Face 1-29 research evidence.,"[ ] Every selected value after Face 29 is visible, and the last value or wrap is proven without inventing a count.",RQ-004|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
6,XR-006,CF27_XBOX_HEAD_TEMPLATE_SECOND_FULL_COUNT_YYYYMMDD.mp4,"Appearance > Head & Skin > Head Template, positioned at first value",Player > Appearance > Head & Skin > Head Template,"First selected Head Template value, expected to visibly read Face 1 if unchanged from current evidence",Proven final selected Head Template value and boundary/wrap evidence,true,None; prioritize selected label/index and native order,2-3 seconds per selected value; 5 seconds at first/final/wrap,Keep current settings unchanged; this is second-count/order evidence.,No,No,false,"10-20 minutes, depending on final count",Begin by showing the first value and end by showing the same boundary/wrap proven in XR-005.,[ ] Second full count agrees with or creates a discrepancy against XR-005 and current Face 1-29 evidence.,RQ-005|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
7,XR-007,CF27_XBOX_CANONICAL_APPEARANCE_LOCK_YYYYMMDD.mp4,Create Player > Appearance,Appearance > Head & Skin and Appearance > Hair if available,"Current Head & Skin setting that controls eye black or equivalent obstruction, if visible","Hair/facial-hair settings proof after several Head Template changes, if controls exist",false,"Front view, then quick left/right three-quarter only if needed to prove obstruction removal",5 seconds after each canonical setting is changed or proven unavailable,Eye black removed if possible; controlled short/non-obstructing hairstyle if possible; facial hair set to None if possible; record exact native labels only when visible.,"Yes, if the game exposes a control; otherwise record why it cannot be removed.","Yes, only to lock a controlled short hairstyle and facial hair None where visibly available.",false,5-8 minutes,Start from Appearance after Head Template count work; show before and after canonical settings.,"[ ] Eye black, hairstyle, and facial hair states are removed/locked or explicitly proven unavailable.",RQ-006|RQ-007|RQ-008,NOT_PRODUCTION_DATA,NOT_VERIFIED
8,XR-008,CF27_XBOX_HEAD_STANDARDIZED_FACE001_FACE012_YYYYMMDD.mp4,Appearance > Head & Skin > Head Template on Face 1,Player > Appearance > Head & Skin > Head Template,Face 1,Face 12,false,"MENU, FRONT, LEFT_3Q, LEFT_PROFILE, REAR, RIGHT_PROFILE, RIGHT_3Q for each selected head",3 seconds on menu label; 3-5 seconds on each stable angle after loading completes,"Use canonical settings from XR-007; do not change hair, facial hair, eye black, zoom, lighting, or framing mid-clip.",Yes,No during clip; must already be locked.,true,20-35 minutes,Ends on Face 12 to overlap the existing intentional Face 12 source overlap and next clip.,"[ ] Faces 1-12 each have menu plus front, both three-quarter, both profile, and rear evidence.",RQ-006|RQ-008,NOT_PRODUCTION_DATA,NOT_VERIFIED
9,XR-009,CF27_XBOX_HEAD_STANDARDIZED_FACE012_FACE024_YYYYMMDD.mp4,Appearance > Head & Skin > Head Template on Face 12,Player > Appearance > Head & Skin > Head Template,Face 12,Face 24,false,"MENU, FRONT, LEFT_3Q, LEFT_PROFILE, REAR, RIGHT_PROFILE, RIGHT_3Q for each selected head",3 seconds on menu label; 3-5 seconds on each stable angle after loading completes,Use canonical settings from XR-007; preserve native order.,Yes,No during clip; must already be locked.,true,20-35 minutes,Begins on Face 12 from XR-008 and ends on Face 24 for the next clip.,[ ] Faces 12-24 each have complete standardized angle evidence.,RQ-006|RQ-008,NOT_PRODUCTION_DATA,NOT_VERIFIED
10,XR-010,CF27_XBOX_HEAD_STANDARDIZED_FACE024_TO_FINAL_YYYYMMDD.mp4,Appearance > Head & Skin > Head Template on Face 24,Player > Appearance > Head & Skin > Head Template,Face 24,Proven final Head Template value from XR-005/XR-006,false,"MENU, FRONT, LEFT_3Q, LEFT_PROFILE, REAR, RIGHT_PROFILE, RIGHT_3Q for each selected head",3 seconds on menu label; 3-5 seconds on each stable angle after loading completes,Use canonical settings from XR-007; preserve native order and boundary evidence.,Yes,No during clip; must already be locked.,true,"20-45 minutes, depending on final count","Begins on Face 24 from XR-009; if storage requires more splits, overlap by the last completed face.",[ ] Face 24 through the proven final head have complete standardized angle evidence.,RQ-004|RQ-006|RQ-008,NOT_PRODUCTION_DATA,NOT_VERIFIED
11,XR-011,CF27_XBOX_FACE_MENUS_MOUTH_JAW_CHIN_YYYYMMDD.mp4,Appearance > Head & Skin,"Player > Appearance > Head & Skin > Mouth Shape, Jaw Shape, and Chin where visible",First selected value in Mouth Shape or first visible missing face-shape category,Final selected value and boundary/wrap for Chin or the last visible missing face-shape category,true,MENU plus FRONT and best available LEFT/RIGHT profile or three-quarter per value,3 seconds on label/index; 3-5 seconds on stable character view per value,Keep canonical settings from XR-007 when possible.,"Yes, if XR-007 succeeded",No during clip,false,"15-30 minutes, depending on counts",Start from Head & Skin after XR-010; show category entry before first value.,"[ ] Mouth Shape, Jaw Shape, and Chin are captured or explicitly marked unavailable from visible evidence.",RQ-009|RQ-010|RQ-011|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
12,XR-012,CF27_XBOX_HAIR_MENU_MAP_YYYYMMDD.mp4,Create Player > Appearance,Player > Appearance > Hair,Hair menu entry,Last visible Hair submenu item after any scrolling,true,None for menu map,3 seconds on each visible Hair submenu or scroll continuation,Keep canonical head and obstruction settings from XR-007.,"Yes, if XR-007 succeeded",No during clip,false,3-6 minutes,"Navigate from Head & Skin back to Appearance, then enter Hair.","[ ] Full Hair submenu hierarchy, native order, locks, dependencies, and scroll continuation are visible.",RQ-012,NOT_PRODUCTION_DATA,NOT_VERIFIED
13,XR-013,CF27_XBOX_HAIRSTYLES_COMPLETE_YYYYMMDD.mp4,"Appearance > Hair, on the hairstyle control if visible",Player > Appearance > Hair > exact visible hairstyle control,First selected hairstyle value visible in the game,Final selected hairstyle value and boundary/wrap evidence,true,"MENU, FRONT, LEFT_3Q, LEFT_PROFILE, REAR, RIGHT_PROFILE, RIGHT_3Q for each hairstyle where practical",3 seconds on label/index; 3-5 seconds on each stable angle,Use the canonical head and hair color chosen for hairstyle review; record the native labels rather than assigning names.,"Yes, if XR-007 succeeded","Yes, hairstyle changes are the subject of this clip.",true,"20-45 minutes, depending on count",Begin from the hairstyle control identified in XR-012.,"[ ] Every deliberately selected hairstyle has menu evidence, required views, and boundary/wrap proof.",RQ-013|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
14,XR-014,CF27_XBOX_HAIR_COLORS_COMPLETE_YYYYMMDD.mp4,"Appearance > Hair, on the hair-color control if visible",Player > Appearance > Hair > exact visible hair-color control,First selected hair-color value visible in the game,Final selected hair-color value and boundary/wrap evidence,true,MENU and FRONT; add LEFT_3Q only if color visibility needs it,3 seconds on label/index; 5 seconds on stable representative face/hair frame,Use one canonical hairstyle and head; keep lighting/framing constant.,"Yes, if XR-007 succeeded","Yes, hair color changes are the subject of this clip.",false,"8-15 minutes, depending on count",Start from the last confirmed Hair menu state in XR-013.,"[ ] Every selected hair-color value is visible, stable, and bounded without inferred labels.",RQ-014|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
15,XR-015,CF27_XBOX_FACIAL_HAIR_COMPLETE_YYYYMMDD.mp4,Appearance > Hair or the exact visible facial-hair menu location,"Player > Appearance > Hair > exact visible facial-hair control, if present",None if present; otherwise first selected facial-hair value visible in the game,Final selected facial-hair value and boundary/wrap evidence,true,"MENU, FRONT, LEFT_3Q, LEFT_PROFILE, RIGHT_PROFILE, RIGHT_3Q for each value where practical",3 seconds on label/index; 3-5 seconds on each stable angle,"Use canonical head, hairstyle, and facial-hair color if available.","Yes, if XR-007 succeeded","Yes, facial-hair option changes are the subject of this clip.",false,"15-30 minutes, depending on count",Start from Hair menu state after XR-014; record exact visible control path before selecting values.,"[ ] None and every selected facial-hair option are recorded with native order, evidence, and boundary/wrap proof.",RQ-015|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
16,XR-016,CF27_XBOX_FACIAL_HAIR_COLORS_COMPLETE_YYYYMMDD.mp4,Appearance > Hair or exact visible facial-hair-color control,"Player > Appearance > Hair > exact visible facial-hair-color control, if present",First selected facial-hair-color value visible in the game,Final selected facial-hair-color value and boundary/wrap evidence,true,MENU and FRONT; add LEFT_3Q if color visibility needs it,3 seconds on label/index; 5 seconds on stable representative face frame,Use one canonical visible facial-hair option; keep hairstyle/head constant.,"Yes, if XR-007 succeeded","Yes, facial-hair color changes are the subject of this clip.",false,"8-15 minutes, depending on count",Start from the facial-hair control area in XR-015.,"[ ] Facial-hair colors are recorded as their own control, or visibly proven unavailable.",RQ-016|RQ-019,NOT_PRODUCTION_DATA,NOT_VERIFIED
