gapID,displayedCategoryLabel,classification,evidenceBasis,parentMenuLabel,nativeOrder,controlType,directlySelectedObservationCount,directlyCatalogedValueCount,visibleCountStatus,defaultStatus,wrapStatus,notCaptured,partiallyCaptured,capturedWithoutClearIndices,capturedWithoutSelectorBoundaries,capturedWithoutStableConditions,capturedWithoutSufficientVisualViews,capturedButUnsuitableForProductionMatching,relatedCaptureRequestIDs,productionEligible,productionUnsuitableReasons
appearance-gap-appearance,Appearance,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Player tab,2,top_level_appearance_category,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,false,false,true,GFM-CAP-003,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Independent second-person verification has not occurred."
appearance-gap-head-skin,Head & Skin,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Appearance,1,submenu,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,false,false,true,GFM-CAP-003,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Independent second-person verification has not occurred."
appearance-gap-head-template,Head Template,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,1,numbered_option_grid,28,26,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,true,true,true,true,true,GFM-CAP-004; GFM-CAP-006,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Observed numeric/index range has unresolved gaps: 15, 19, 20, 25, 26.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-skin-tone,Skin Tone,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,2,color_selector_numbered_grid,22,21,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,true,true,true,true,true,GFM-CAP-007,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Observed numeric/index range has unresolved gaps: 5, 14, 15, 16, 25, 26, 27, 28.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-skin-details,Skin Details,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,3,named_option_grid,10,10,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,false,true,true,true,true,GFM-CAP-008,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-eye-shape,Eye Shape,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,4,named_option_grid,5,5,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,false,true,true,true,true,GFM-CAP-009,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-eye-color,Eye Color,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,5,color_selector_named_grid,7,7,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,false,true,true,true,true,GFM-CAP-010,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-nose,Nose,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,6,named_option_grid,8,7,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,POSSIBLE_WRAP_OBSERVED_UNVERIFIED,false,true,false,true,true,true,true,GFM-CAP-011,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-ear-shape,Ear Shape,CONFIRMED_PRESENT_INCOMPLETE,SELECTED_VALUES_OBSERVED,Head & Skin,7,named_option_grid,5,4,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,false,true,false,true,true,true,true,GFM-CAP-012,false,"Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-mouth-shape,Mouth Shape,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Head & Skin,8,unknown_selector,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,true,true,true,GFM-CAP-013,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-jaw-shape,Jaw Shape,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Head & Skin,9,unknown_selector,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,true,true,true,GFM-CAP-013,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-chin,Chin,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Head & Skin,10,unknown_selector,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,true,true,true,GFM-CAP-013,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Canonical capture conditions are not locked and independently verified.; Required standardized visual views are missing or insufficient.; Independent second-person verification has not occurred."
appearance-gap-hair,Hair,CONFIRMED_PRESENT_INCOMPLETE,MENU_ROW_VISIBLE_ONLY,Appearance,2,submenu,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,true,false,true,false,false,true,GFM-CAP-014,false,"No selected option values are cataloged.; Selector first/final boundary, default, total count, or wrap/no-wrap proof is missing.; Independent second-person verification has not occurred."
appearance-gap-suspected-hairstyles,Hairstyles,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Hair,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-014; GFM-CAP-015,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-suspected-hair-colors,Hair colors,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Hair,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-014; GFM-CAP-016,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-suspected-facial-hair,Facial hair,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Hair,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-014; GFM-CAP-017,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-suspected-facial-hair-colors,Facial-hair colors,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Hair,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-014; GFM-CAP-018,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-suspected-eyebrows,Eyebrows,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Unknown,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-suspected-body-height-weight-physique,Body/height/weight/physique,SUSPECTED_NOT_OBSERVED,SOURCE_REQUIRED_NOT_DIRECTLY_OBSERVED,Unknown,,UNKNOWN_NOT_OBSERVED,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-002,false,"No direct native game category, selected values, boundaries, defaults, or visual evidence are present in current footage."
appearance-gap-unknown-additional-appearance-rows-beyond-visible-head-skin-and-hair,Additional Appearance rows beyond visible Head & Skin and Hair,UNKNOWN_MENU_NOT_FULLY_INSPECTED,MENU_REGION_NOT_FULLY_INSPECTED,Appearance,,UNKNOWN,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-003,false,"The relevant menu region has not been fully inspected, so additional categories cannot be confirmed absent or cataloged."
appearance-gap-unknown-additional-head-skin-rows-beyond-visible-chin,Additional Head & Skin rows beyond visible Chin,UNKNOWN_MENU_NOT_FULLY_INSPECTED,MENU_REGION_NOT_FULLY_INSPECTED,Head & Skin,,UNKNOWN,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-003,false,"The relevant menu region has not been fully inspected, so additional categories cannot be confirmed absent or cataloged."
appearance-gap-unknown-hair-submenu-child-controls,Hair submenu child controls,UNKNOWN_MENU_NOT_FULLY_INSPECTED,MENU_REGION_NOT_FULLY_INSPECTED,Hair,,UNKNOWN,0,0,COUNT_UNKNOWN,DEFAULT_NOT_DEMONSTRATED,UNKNOWN,true,false,false,true,true,true,true,GFM-CAP-014,false,"The relevant menu region has not been fully inspected, so additional categories cannot be confirmed absent or cataloged."
