categoryID,category,required,expectedRecords,observedCandidateRecords,acceptedEvidence,incompleteEvidence,duplicateEvidence,primaryReviewedRecords,verifierReady,secondVerifiedRecords,productionApprovedRecords,blockerCount,beginningProof,endingProof,productionReady,status,blocker
"environment","Environment","true","1","1","1","0","0","0","false","0","0","21","false","false","false","INCOMPLETE_EVIDENCE","Environment has 21 open blocking issue(s)."
"creation_paths","Creation paths","true","1","1","1","1","0","1","true","0","0","1","true","true","false","INCOMPLETE_EVIDENCE","Creation paths has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"menu_hierarchy","Menu hierarchy","true","22","93","93","13","0","0","true","0","0","13","false","false","false","INCOMPLETE_EVIDENCE","Menu hierarchy has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"head_templates","Head templates","true","","26","26","1","0","0","false","0","0","1","false","false","false","INCOMPLETE_EVIDENCE","Head templates has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"skin_tone","Skin tone","true","","21","21","22","1","20","true","0","0","23","false","false","false","INCOMPLETE_EVIDENCE","Skin tone has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"skin_details","Skin details","true","","10","10","11","0","10","true","0","0","12","false","false","false","INCOMPLETE_EVIDENCE","Skin details has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"eye_shape","Eye shape","true","","5","5","6","0","5","true","0","0","7","false","false","false","INCOMPLETE_EVIDENCE","Eye shape has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"eye_color","Eye color","true","","7","7","8","0","7","true","0","0","9","false","false","false","INCOMPLETE_EVIDENCE","Eye color has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"nose","Nose","true","","7","7","8","1","6","true","0","0","12","false","false","false","INCOMPLETE_EVIDENCE","Nose has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"ears","Ears","true","","4","4","5","1","3","true","0","0","6","false","false","false","INCOMPLETE_EVIDENCE","Ears has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"mouth","Mouth","true","","0","0","1","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Mouth has no directly cataloged candidate records in current evidence."
"jaw_chin","Jaw/chin","true","","0","0","2","0","0","false","0","0","5","false","false","false","INCOMPLETE_EVIDENCE","Jaw/chin has no directly cataloged candidate records in current evidence."
"hairstyles","Hairstyles","true","","0","0","2","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Hairstyles has no directly cataloged candidate records in current evidence."
"hair_colors","Hair colors","true","","0","0","2","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Hair colors has no directly cataloged candidate records in current evidence."
"facial_hair","Facial hair","true","","0","0","2","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Facial hair has no directly cataloged candidate records in current evidence."
"facial_hair_colors","Facial-hair colors","true","","0","0","2","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Facial-hair colors has no directly cataloged candidate records in current evidence."
"eyebrows","Eyebrows","true","","0","0","2","0","0","false","0","0","3","false","false","false","INCOMPLETE_EVIDENCE","Eyebrows has no directly cataloged candidate records in current evidence."
"body_physique","Body and physique controls","true","","5","5","1","0","0","false","0","0","1","false","false","false","INCOMPLETE_EVIDENCE","Body and physique controls has incomplete evidence, boundary, default, wrap, view, or stable-condition requirements."
"dependencies","Dependency tests","true","16","0","0","0","0","0","false","0","0","1","false","false","false","MISSING_EVIDENCE","Dependency tests has no directly cataloged candidate records in current evidence."
