sampleID,candidateID,category,requiredSecondaryViews,sourceVideoIDs,exactUsefulTimestamps,selectionHash,requiredAction,reviewed,verifierObservation,result,missingAngleLimitation,notes
supported-subset-secondary-angle-chin-001,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,LEFT_3Q;RIGHT_3Q,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,912bbf1e75bbbd47bf7b702bd2a01f3d8d160e155af7e56ef7fc393ff1746608,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-eye-color-001,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-007,18-20,4a7e254487349a9abaf631ce7d534513f3c91cf33d1a5e88d15dbe888ea457b0,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-eye-color-002,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-007,13-15,8d508c992cc20fd2f3890c29ee7c09f08b8f444cfd3d8f28afb1b81223343b91,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-eye-shape-001,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-006,20-24.93,5d013c569d47ced419d3d27f35ef7d0b99065d9a9b27b398887700f8789f283f,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-eye-shape-002,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-006,17-18,83a427eda5d39be0d219441f90f4e570e21a121c0d4009d516fa255feeff3016,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-hairstyles-001,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,CF27_XBOX_SOURCE_2026_08_02_002,5-99,e1cc9a2043d0fe7941162837e828094c46bb64f8e3344abb24489fdcdc945385,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-001,CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-002,89-94,02f4ee72a9410ae27e801e736acb59bb455ab33707dd66d8a799504947cabda3,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-002,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-002,10-19,0a6f032de119a905ad0f46b3df17b166877f16bddf2c85b83ab2afbd2681d8f0,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-003,CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-003,90-99,0f154c62f025d345d55ff237e5be01799c9e0a46337b96a99f4c0b3f218e002a,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-004,CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-002,60-68,18d68e18bfa160a40c89e29d1c575709230177b8617e5a7e74c423a4ef8c60ea,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-005,CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-002,54-59,1ca4c0993376a8ee671475f187f4a776d724bb91d6ab5041fa2aa720d05936d7,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-heads-006,CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,LEFT_3Q;RIGHT_3Q;LEFT_PROFILE;RIGHT_PROFILE,phase0-video-003,100-109,1e6213215a406b8ffe9793d556fe7328f12f4b0bb0f7ece9520b32c71f2f8ea2,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
