package_id,candidate_id,category,native_label_index_order,native_order,source_video_id,source_timestamp_range,evidence_ids,frame_reextraction_ids,evidence_file_existence_check_required,front_view_confirmation_required,native_order_confirmation_required,duplicate_or_exception_review_required,secondary_angle_sample_required,environment_version_metadata_required,independent_observation_required,allowed_statuses,required_notes,verifier_workstream,requires_wyatt_clip_ids,global_requirement_recaptures_blocking_production,production_eligibility_state,production_blocking_reason
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,BLUE CHIP,,phase0-video-001,18-23,phase0-source-phase0-video-001,,yes,yes,notApplicable,no,yes,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,for non-clean decisions,CAN_REVIEW_IMMEDIATELY_FROM_EXISTING_MEDIA,,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,CONTRIBUTOR,,phase0-video-001,18-23,phase0-source-phase0-video-001,,yes,yes,notApplicable,no,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,for non-clean decisions,CAN_REVIEW_IMMEDIATELY_FROM_EXISTING_MEDIA,,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,ELITE,,phase0-video-001,18-23,phase0-source-phase0-video-001,,yes,yes,notApplicable,no,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,for non-clean decisions,CAN_REVIEW_IMMEDIATELY_FROM_EXISTING_MEDIA,,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,UNDERDOG,,phase0-video-001,18-23,phase0-source-phase0-video-001,,yes,yes,notApplicable,no,yes,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,for non-clean decisions,CAN_REVIEW_IMMEDIATELY_FROM_EXISTING_MEDIA,,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,QB,,phase0-video-001,24-29,phase0-source-phase0-video-001,,yes,yes,notApplicable,no,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,for non-clean decisions,CAN_REVIEW_IMMEDIATELY_FROM_EXISTING_MEDIA,,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,Square,2,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,,yes,yes,yes,no,yes,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,yes,REQUIRES_WYATT_CLIP,CF27-MIN-RECAP-002,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,Attached Lobe,1,phase0-video-009,18-20,phase0-frame-video-009-tl-003,,yes,yes,yes,no,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,yes,REQUIRES_WYATT_CLIP,CF27-MIN-RECAP-005,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,None,2,phase0-video-009,16-17,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,,yes,yes,yes,yes,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,yes,REQUIRES_WYATT_CLIP,CF27-MIN-RECAP-005,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,Round Free Lobe,3,phase0-video-009,23-25,phase0-frame-video-009-tl-005,,yes,yes,yes,no,yes,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,yes,REQUIRES_WYATT_CLIP,CF27-MIN-RECAP-005,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,Pointed,4,phase0-video-009,26-30.21,phase0-frame-video-009-tl-006,,yes,yes,yes,no,no,yes,yes,VERIFIED;VERIFIED_WITH_NOTES;RECAPTURE_REQUIRED;VERSION_MISMATCH;MISSING_EVIDENCE;COUNT_MISMATCH;ORDER_MISMATCH;DEPENDENCY_UNRESOLVED;NOT_VERIFIED,yes,REQUIRES_WYATT_CLIP,CF27-MIN-RECAP-005,CF27-MIN-RECAP-001;CF27-MIN-RECAP-003;CF27-MIN-RECAP-004;CF27-MIN-RECAP-006;CF27-MIN-RECAP-007;CF27-MIN-RECAP-008;CF27-MIN-RECAP-010;CF27-MIN-RECAP-011;CF27-MIN-RECAP-012;CF27-MIN-RECAP-013;CF27-MIN-RECAP-015;CF27-MIN-RECAP-018;CF27-MIN-RECAP-020;CF27-MIN-RECAP-021,NOT_ELIGIBLE,"Second-person verification has not occurred; environment/version metadata, recapture tasks, duplicate/order review, catalog-manager disposition, and immutable production release remain required."
