template_notice,schema_version,catalog_stable_id,catalog_version_id,field_id,value_kind,min,max,unit,availability,value,confidence,measurement_source,supporting_evidence_ids,supporting_views,missing_reason,reviewer_notes
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,faceWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,faceLength,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,foreheadWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,templeWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,cheekboneWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,jawWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,jawAngle,angleDegrees,45,170,degrees,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,chinWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,chinHeight,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,chinProjection,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,eyeSize,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,eyeSpacing,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,eyeTilt,angleDegrees,-30,30,degrees,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,browPosition,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,noseLength,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,noseWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,noseProjection,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,noseTipForm,controlledGeometryForm,,,controlledValue,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,mouthWidth,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,lipProportions,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,earHeight,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,earProjection,normalizedRatio,0,2,normalizedRatio,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
NOT PRODUCTION DATA - BLANK VERIFIED HEAD GEOMETRY ANNOTATION TEMPLATE,phase0-verified-head-geometry-annotation-v1,REPLACE_WITH_VERIFIED_HEAD_STABLE_ID,REPLACE_WITH_APPROVED_CATALOG_VERSION_ID,symmetryIndicators,symmetryIndicators,0,0.5,ratioSet,UNAVAILABLE,,0,UNAVAILABLE,,,Not annotated yet.,
