candidateID,category,claimedNativeLabel,claimedNativeIndex,claimedNativeOrder,evidenceSupportState,sourceVideoIDs,timestamps,frontViewEvidence,secondarySampleRequired,productionEligibilityState
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,Square,2,2,SUPPORTED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,Light Blue,1,1,USER_CONFIRMATION_REQUIRED,phase0-video-007,12-12,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,Light Brown,2,2,USER_CONFIRMATION_REQUIRED,phase0-video-007,13-15,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,Brown,3,3,USER_CONFIRMATION_REQUIRED,phase0-video-007,16-17,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,Blue,4,4,USER_CONFIRMATION_REQUIRED,phase0-video-007,18-20,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,Light Green,5,5,USER_CONFIRMATION_REQUIRED,phase0-video-007,25-29.33,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,Grey,6,6,USER_CONFIRMATION_REQUIRED,phase0-video-007,23-24,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,Hazel,7,7,USER_CONFIRMATION_REQUIRED,phase0-video-007,21-22,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,Almond,1,1,SUPPORTED_WITH_NOTES,phase0-video-006,14-14,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,None,2,2,SUPPORTED_WITH_NOTES,phase0-video-006,15-16,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,Prominent,3,3,SUPPORTED_WITH_NOTES,phase0-video-006,17-18,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,Monolid,4,4,SUPPORTED_WITH_NOTES,phase0-video-006,19-19,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,Hooded,5,5,SUPPORTED_WITH_NOTES,phase0-video-006,20-24.93,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,Short Curly,1,1,SUPPORTED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_002,5-99,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,Face 1,1,1,SUPPORTED_WITH_NOTES,phase0-video-002,10-19,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,Face 2,2,2,SUPPORTED_WITH_NOTES,phase0-video-002,20-28,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,Face 3,3,3,SUPPORTED_WITH_NOTES,phase0-video-002,29-38,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,Face 4,4,4,SUPPORTED_WITH_NOTES,phase0-video-002,39-48,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,Face 5,5,5,SUPPORTED_WITH_NOTES,phase0-video-002,69-74,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
