capture_id,priority,title,exact_menu_path,acceptance_summary,verifier_note
GFM-CAP-001,P0,Appearance and Head & Skin boundary map,"Create Player > Player > Appearance, then Head & Skin","Appearance entry is visible from the Player tab. | Head & Skin row order is visible from first through final observed row. | Mouth Shape, Jaw Shape, Chin, and any additional visible Head & Skin rows are captured as menu rows only unless opened in later sessions. | No category is marked absent unless the menu boundary is visible.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-002,P0,Head Template full count and boundary proof,Create Player > Player > Appearance > Head & Skin > Head Template,"Two complete selected-value passes are visible. | Currently unresolved values inside the observed range are resolved by direct traversal evidence, not inference. | The final count is not claimed unless final/wrap/no-wrap evidence is visible. | [withheld primary head value] overlap remains preserved as continuity evidence, not a duplicate production record.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-003,P0,Canonical appearance lock slate,"Create Player > Player > Appearance > Head & Skin, plus Hair if visible","The lock slate contains only visible native settings or explicit unavailable states. | Eye black and obstruction are removed if visibly possible or documented if not possible. | The slate does not rely on assumed hairstyle, facial-hair, or eye-black labels.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-004,P0,Head Template standardized visual pass,Create Player > Player > Appearance > Head & Skin > Head Template,"Every head has menu evidence and all required views. | Frames are free of severe blur, loading animation, overlays, and inconsistent zoom. | Rear view is captured for completeness but not used to infer facial geometry.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-005,P0,Head & Skin color and texture controls,"Create Player > Player > Appearance > Head & Skin > Skin Tone, Skin Details, Eye Shape, Eye Color",No racial or ethnic descriptions are recorded for skin presentation. | Unreadable native labels remain queued for review rather than replaced with generic names. | Skin Tone unresolved numeric gaps are closed by direct evidence or explicitly recorded as unavailable/skipped.,Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-006,P0,Head & Skin geometry controls,"Create Player > Player > Appearance > Head & Skin > Nose, Ear Shape, Mouth Shape, Jaw Shape, Chin","Every selected value is direct evidence, not a thumbnail-only observation. | Side views are captured for Nose and Ear Shape when available. | Mouth, Jaw Shape, and Chin selected values are cataloged only after direct selection.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-007,P1,Hair submenu boundary map,Create Player > Player > Appearance > Hair,"Hair child controls are directly visible in native order. | Hairstyle, hair color, facial hair, and facial-hair color are not treated as confirmed native controls unless shown. | Locks or unavailable controls remain documented as visible states.",Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-008,P1,"Hairstyle options, only if visible in Hair",Create Player > Player > Appearance > Hair > visible hairstyle control from GFM-CAP-007,The native control is visibly confirmed before option capture begins. | Every selected value has menu evidence and required angle views. | Rear view is included for hair shape/length.,Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-009,P1,"Hair color options, only if visible in Hair",Create Player > Player > Appearance > Hair > visible hair-color control from GFM-CAP-007,Every selected value has readable native label/index evidence. | Lighting stays constant. | No generic color name replaces unreadable game text.,Use this as guidance for what to record or review; do not use any primary option count.
GFM-CAP-010,P1,"Facial-hair controls, only if visible in Hair",Create Player > Player > Appearance > Hair > visible facial-hair or facial-hair-color controls from GFM-CAP-007,"None is included only if directly visible. | Coverage, mustache, beard, sideburn, stubble, density, and color-control observations are recorded only when visible. | Facial-hair color is not assumed to exist unless shown.",Use this as guidance for what to record or review; do not use any primary option count.
