stableInternalID,nativeOrder,visibleGameLabelOrIndex,priority,currentEvidenceUse,recaptureReason,requiredViews,optionalViews
CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Face 1,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Face 2,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Face 3,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Face 4,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Face 5,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Face 6,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Face 7,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Face 8,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Face 9,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Face 10,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
