queueID,priority,group,title,ownerRecordingInstructions,requiredEvidence,optionalEvidence,acceptanceCriteria,existingEvidenceRemainsUseful,existingEvidenceUsefulness,sourceReferences,blocksProduction,status
RQ-001,P0,Environment,Record exact Xbox console model and console OS,"Open Xbox Settings > System > Console info and record the exact console model name, serial-sensitive fields excluded, console OS version, and system update status. Include a continuous screen recording from the settings navigation into the visible console-info screen.",Console info screen|System update status screen,,Console model is visible|Console OS version is visible|Update status is visible|No account secrets or serial numbers are transcribed into catalog data,true,"Existing gameplay recordings remain useful for Road to Glory navigation, selected menu labels, and current research-candidate provenance, but they do not prove exact Xbox model or console OS.",data/research/cf27/exports/partial-research-catalog-current/issues_and_exceptions.csv|data/research/cf27/video_inventory.json,true,open
RQ-002,P0,Environment,Record game executable version and installed patch/update screen,"Record the game title screen and any visible in-game version/build display, then record Xbox manage-game/update screens showing installed version, latest update state, and update date if visible. Do not infer patch from upload date.",Game title/version screen|Installed game version screen|Update/latest-version screen,,Game executable version or explicit UNKNOWN is recorded from evidence|Patch/update state is visible|Capture date is recorded,true,"Existing videos remain useful for observed menus and options, but they cannot become production records until the executable version and patch context are tied to the audit environment.",data/research/cf27/exports/partial-research-catalog-current/issues_and_exceptions.csv|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-003,P0,Environment,"Record edition, entitlement, copy type, storefront, online, and EA account state","Record only non-secret account/entitlement context: game edition as shown by the console/store/manage-game UI, installed add-ons or entitlements relevant to player creation, copy type, storefront/region, online/offline state, and EA account signed-in state if visible without exposing credentials.",Manage game add-ons/edition screen|Storefront or ownership screen where safe|Network or online-state evidence where safe,,"Edition is visible or marked UNKNOWN from evidence|Entitlements/add-ons are visible or marked none/UNKNOWN|No credentials, emails, payment data, or recovery data are recorded",true,"Existing menu recordings remain useful for current Road to Glory observations, but they do not prove whether edition or entitlement state changes available appearance options.",data/research/cf27/exports/partial-research-catalog-current/issues_and_exceptions.csv,true,open
RQ-004,P0,Head Templates,Capture Remaining Head Templates after Face 29 and prove category boundary,"Starting from Face 29 in Head Template, continue advancing in native order until the selector visibly reaches the last option and either wraps to the first option or otherwise proves the end boundary. Keep the visible selected label/index on screen for every deliberate selection.",Menu evidence for every selected option after Face 29|End-of-category or wrap evidence|Timestamped continuous recording,,No option after Face 29 is created unless deliberately selected|Final count is proven by boundary/wrap evidence|Native order is preserved,true,"Existing Face 1-29 recordings remain useful for selected label/order evidence, extracted derivatives, Face 12 overlap provenance, and sequence-review cues. They do not prove the complete Head Template count.",data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json|data/research/cf27/reports/native-sequence-integrity/native_sequence_human_review_queue.json|data/research/cf27/video_inventory.json,true,open
RQ-005,P0,Head Templates,Perform a second full Head Template count,"Run a second pass through the complete Head Template selector from the first option to the proven final option. Record selected labels/indices in native order without skipping, and call out any grid traversal or jump intentionally.",Continuous second count recording|First option evidence|Final/wrap evidence|Researcher count notes,,"Second count agrees or discrepancy is opened|Selector jumps are documented|Face 12 overlap is preserved as overlap evidence, not duplicate identity",true,Existing Face 1-29 footage remains useful as the primary-observation pass and as a comparison source for the second count.,data/research/cf27/reports/native-sequence-integrity/native_sequence_human_review_queue.json|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-006,P0,Head Templates,Standardized head capture pass without eye black,"After confirming the canonical capture configuration, record every Head Template with eye black disabled or absent if the game allows. Capture menu evidence plus front, left three-quarter, left profile, rear, right profile, and right three-quarter views for each selected head.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|REAR|RIGHT_PROFILE|RIGHT_3Q,ELEVATED|LOWERED,Eye black is absent or explicitly unavoidable|Zoom/framing is consistent|Native order is preserved|Every current and newly discovered head has the standard view set,true,"Existing Face 1-29 recordings remain valid identity/order/menu evidence. Current QA says one standardized recapture run can repair recurring image-comparison limitations, but not category completeness, environment gaps, or second verification.",data/research/cf27/reports/head-template-standardization-qa/head_template_standardization_qa_report.json|data/research/cf27/reports/head-template-standardization-qa/head_template_recapture_queue.csv,true,open
RQ-007,P0,Head Templates,Lock controlled short hairstyle and facial hair set to None where possible for head comparison,"Before the standardized head pass, identify whether hair and facial-hair controls can be held constant while changing Head Template. If possible, set a controlled short/non-obstructing hairstyle and facial hair None, then record proof of those settings before the pass.",Hair/facial-hair settings before head pass|Evidence that settings remain unchanged after several head changes|Note if head templates force hair or facial hair,,"Canonical hair state is recorded|Canonical facial-hair state is recorded|Any forced changes are documented as dependencies, not inferred options",true,"Existing head footage remains useful for native Head Template labels and order, but visible hair, facial hair, and eye black currently limit geometry comparison.",data/research/cf27/reports/head-template-standardization-qa/head_template_standardization_qa_report.json|data/research/cf27/exports/partial-research-catalog-current/recapture_queue.csv,true,open
RQ-008,P0,Capture protocol,Record missing true front and profile views under a locked capture protocol,"For each category being captured, pause on stable character views and record true front, left profile, and right profile views where the UI allows. Avoid transition frames, loading animation, cursor/notification overlays, and inconsistent zoom.",True front stable frame|Left profile stable frame|Right profile stable frame|View-angle notes,,Angle labels are supported by visible rotation state|Profile views are not approximated from three-quarter views|Missing views are explicitly marked unavailable if the UI cannot show them,true,"Existing extracted frames remain useful as derivatives and review aids, but some are best-available approximations rather than production-ready true front/profile evidence.",data/research/cf27/reports/head-template-standardization-qa/head_template_standardization_qa_report.json|data/research/cf27/exports/partial-research-catalog-current/recapture_queue.csv,true,open
RQ-009,P1,Uncaptured face menus,Record Mouth Shape menu,"Navigate to Appearance > Head & Skin > Mouth Shape if present. Record the category entry, every deliberately selected native label/index in order, representative character view, and selector boundary/wrap evidence.",Category entry|Every selected Mouth Shape value|Boundary or wrap evidence|Stable face frame per value where available,,Native labels/indices are readable or queued for manual label review|Count is not claimed without boundary evidence|No values are inferred from thumbnails,true,"Existing appearance hierarchy evidence suggests Mouth Shape is part of the observed hierarchy, but no complete own-category recording is available for production use.",data/research/cf27/video_timeline_index.json|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-010,P1,Uncaptured face menus,Record Jaw Shape menu,Navigate to Jaw Shape if present and record each deliberately selected value in native order with front and profile/three-quarter character evidence where available. Prove selector boundary or wrap.,Category entry|Every selected Jaw Shape value|Front and side/three-quarter evidence|Boundary or wrap evidence,,"Native order is preserved|Geometry-changing status is recorded as observation, not production fact until reviewed|Count is proven",true,"Existing hierarchy evidence supports that Jaw Shape appears in the current menu area, but option values are not cataloged yet.",data/research/cf27/video_timeline_index.json|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
