target_stable_id,category,verification_scope,requirement_type,requires_count,requires_native_order,requires_evidence_reference,requires_front_view,requires_secondary_angle_sample,requires_duplicate_exception_review,requires_production_candidate_review,blind_phase_required,notes
cf27-menu-head-skin-head-template,Head Template,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-skin-tone,Skin Tone,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-skin-details,Skin Details,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-eye-shape,Eye Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-eye-color,Eye Color,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-nose,Nose,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-ear-shape,Ear Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-mouth-shape,Mouth Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-jaw-shape,Jaw Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-chin,Chin,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-appearance-head-skin,Head & Skin,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-appearance-hair,Hair,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-player-appearance,Appearance,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-ear-shape,Ear Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-eye-color,Eye Color,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-eye-shape,Eye Shape,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-nose,Nose,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-skin-details,Skin Details,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
category-skin-tone,Skin Tone,independentCount,MENU_COUNT,true,false,true,false,false,false,false,true,Verifier must independently count this target before opening primary comparison worksheets.
cf27-menu-head-skin-head-template,Head Template,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-skin-tone,Skin Tone,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-skin-details,Skin Details,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-eye-shape,Eye Shape,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-eye-color,Eye Color,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-nose,Nose,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-ear-shape,Ear Shape,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-mouth-shape,Mouth Shape,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-jaw-shape,Jaw Shape,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-head-skin-chin,Chin,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-appearance-head-skin,Head & Skin,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-appearance-hair,Hair,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
cf27-menu-player-appearance,Appearance,menuMap,MENU_MAP,false,true,true,false,false,false,false,true,"Verifier must independently confirm the menu row, parent, order, and boundary state."
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,catalogItem,CANDIDATE_RECORD,false,false,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,catalogItem,CANDIDATE_RECORD,false,false,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,true,false,false,Duplicate or ambiguous record requires explicit exception review.
CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
