package_id,phase,target_stable_id,category,evidence_ids,front_view_exists,front_view_usable,menu_label_visible,obstruction_or_quality_issue,verifier_status,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,phase0-source-phase0-video-001,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,phase0-source-phase0-video-001,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,phase0-source-phase0-video-001,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,phase0-source-phase0-video-001,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,phase0-source-phase0-video-001,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,phase0-frame-video-009-tl-003,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,phase0-frame-video-009-tl-005,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,phase0-frame-video-009-tl-006,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,phase0-frame-video-007-tl-002,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,phase0-frame-video-007-tl-003,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,phase0-frame-video-007-tl-004,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,phase0-frame-video-007-tl-005,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,phase0-frame-video-007-tl-008,,,,,NOT_VERIFIED,Required front-view check before any production consideration.
