capture_event_id,timeline_record_id,video_id,start_timestamp,end_timestamp,category,native_option,action,evidence_generated,issue_detected,verification_state,notes,head_research_catalog_id,head_native_option_number,head_research_flags
capture-phase0-video-001-tl-001,phase0-video-001-tl-001,phase0-video-001,0,7,College Football hub / Road to Glory navigation,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Main hub/navigation state; Road to Glory is visible in the left navigation. Not catalog option evidence.,,,
capture-phase0-video-001-tl-002,phase0-video-001-tl-002,phase0-video-001,8,11,Road to Glory transition/loading,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Road to Glory splash/loading transition.,,,
capture-phase0-video-001-tl-003,phase0-video-001-tl-003,phase0-video-001,12,17,Road to Glory menu/start area,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Road to Glory setup/navigation screens; exact small labels require a later frame-level pass before use as creation-path evidence.,,,
capture-phase0-video-001-tl-004,phase0-video-001-tl-004,phase0-video-001,18,23,Archetype / prospect selection cards,,context_labels_visible,,,OBSERVED_PENDING_VERIFICATION,Card labels are visible in the creation-flow UI. They are not College Football 27 appearance catalog records.,,,
capture-phase0-video-001-tl-005,phase0-video-001-tl-005,phase0-video-001,24,29,Player setup / position path,QB,creation_path_label_visible,,limited_visual_analysis,OBSERVED_PENDING_VERIFICATION,"QB appears on the setup screen; this is creation-path evidence, not appearance option evidence.",,,
capture-phase0-video-001-tl-006,phase0-video-001-tl-006,phase0-video-001,30,32,Transition into player creation,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Stadium/football transition before player-creation appearance screens.,,,
capture-phase0-video-001-tl-007,phase0-video-001-tl-007,phase0-video-001,33,37,Create Player appearance path/menu,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Created-player appearance area becomes visible.,,,
capture-phase0-video-001-tl-008,phase0-video-001-tl-008,phase0-video-001,38,45,Create Player menu navigation,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Menu navigation continues; small labels are not indexed as appearance options.,,,
capture-phase0-video-001-tl-009,phase0-video-001-tl-009,phase0-video-001,46,57,Create Player preview / build-equipment area,,rotation_observed,,blur_present; transition_active,OBSERVED_PENDING_VERIFICATION,Player preview rotates/moves; useful for creation-path context only.,,,
capture-phase0-video-001-tl-010,phase0-video-001-tl-010,phase0-video-001,58,66,Create Player menu navigation,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Stable menu/player preview after rotation.,,,
