checkID,status,finding,productionImpact,evidence
native_values,NO_RECORDS_CREATED,No native facial-hair labels or indices have been entered.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
none_option,NOT_OBSERVED,None cannot be cataloged until directly visible and selected.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
total_observed_count,COUNT_UNKNOWN,No facial-hair selector has been counted.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
selected_canonical_head,UNCONFIRMED,No facial-hair capture sequence proves the selected canonical head.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
selected_canonical_hairstyle,UNCONFIRMED,No facial-hair capture sequence proves the selected canonical hairstyle.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
selected_canonical_skin_setting,UNCONFIRMED,No facial-hair capture sequence proves the selected skin setting.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
selected_canonical_facial_hair_color,UNCONFIRMED,No facial-hair capture sequence proves the selected facial-hair color.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
full_screen_menu_evidence,MISSING,No full-screen facial-hair menu evidence exists.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
front_evidence,MISSING,No front facial-hair evidence exists.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
three_quarter_evidence,MISSING,No left or right three-quarter facial-hair evidence exists.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
profile_evidence,MISSING,No left or right profile facial-hair evidence exists.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
coverage_metadata,NOT_ASSESSABLE,"No option evidence exists for beardCoverage, mustachePresence, chinCoverage, cheekCoverage, jawCoverage, neckCoverage, sideburnPresence.",BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
selector_wrap,NOT_DEMONSTRATED,No facial-hair selector boundary or wrap proof exists.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
default,NOT_DEMONSTRATED,No facial-hair default is visible in current evidence.,BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
dependency_observations,UNKNOWN_NOT_TESTED,"No head, hairstyle, skin, mode, body, account, or unlock dependency tests exist for facial hair.",BLOCKS_PRODUCTION_FACIAL_HAIR_RECORDS,
