discrepancy_id,discrepancy_type,stable_candidate_id,category,native_order,verifier_instruction,evidence_references,source_video_timestamp,current_status,blocks_production,notes
CF27-DISC-CATEGORY-ear-shape-ORDERING,ORDERING_DISPUTE,ear-shape,Ear Shape,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. repeatedIndices: Repeated selected indices or labels: 2. wrappingBehavior: NOT_DEMONSTRATED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
CF27-DISC-CATEGORY-eye-color-ORDERING,ORDERING_DISPUTE,eye-color,Eye Color,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. wrappingBehavior: NOT_DEMONSTRATED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
CF27-DISC-CATEGORY-eye-shape-ORDERING,ORDERING_DISPUTE,eye-shape,Eye Shape,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. wrappingBehavior: NOT_DEMONSTRATED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
CF27-DISC-CATEGORY-facialhair-ORDERING,ORDERING_DISPUTE,facialHair,Facial Hair,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: No selected values are captured. endingBoundary: No selected values are captured. twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: No native-order rows are available to audit. missingIndices: No selected values are captured. wrappingBehavior: NOT_OBSERVED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. evidenceForEveryClaimedOption: No claimed options exist; category is incomplete because no selected values are captured. unprovenFinalOptionClaims: No final option is proven."
CF27-DISC-CATEGORY-facialhaircolor-ORDERING,ORDERING_DISPUTE,facialHairColor,Facial-Hair Color,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: No selected values are captured. endingBoundary: No selected values are captured. twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: No native-order rows are available to audit. missingIndices: No selected values are captured. wrappingBehavior: NOT_OBSERVED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. evidenceForEveryClaimedOption: No claimed options exist; category is incomplete because no selected values are captured. unprovenFinalOptionClaims: No final option is proven."
CF27-DISC-CATEGORY-haircolor-ORDERING,ORDERING_DISPUTE,hairColor,Hair Color,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: No selected values are captured. endingBoundary: No selected values are captured. twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: No native-order rows are available to audit. missingIndices: No selected values are captured. wrappingBehavior: NOT_OBSERVED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. evidenceForEveryClaimedOption: No claimed options exist; category is incomplete because no selected values are captured. unprovenFinalOptionClaims: No final option is proven."
CF27-DISC-CATEGORY-hairstyle-ORDERING,ORDERING_DISPUTE,hairstyle,Hairstyles,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: No selected values are captured. endingBoundary: No selected values are captured. twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: No native-order rows are available to audit. missingIndices: No selected values are captured. wrappingBehavior: Wrapping behavior is not proven. countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. evidenceForEveryClaimedOption: No claimed options exist; category is incomplete because no selected values are captured. unprovenFinalOptionClaims: No final option is proven."
CF27-DISC-CATEGORY-head-template-ORDERING,ORDERING_DISPUTE,head-template,Head Template,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"endingBoundary: The recording does not demonstrate the final selector boundary or a terminal no-more-options state. twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: Missing native indices within observed range: 15, 19, 20, 25, 26. missingIndices: Missing indices: 15, 19, 20, 25, 26. repeatedIndices: Repeated selected indices: 12, 16. wrappingBehavior: No selector wrap from final option back to first option is shown. countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: Face 30 and Face 31 are directly observed before the recording ends on Face 29, and no end or wrap behavior is shown."
CF27-DISC-CATEGORY-nose-ORDERING,ORDERING_DISPUTE,nose,Nose,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. repeatedIndices: Repeated selected indices or labels: 5. wrappingBehavior: POSSIBLE_WRAP_OBSERVED_UNVERIFIED_REQUIRES_REVIEW countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
CF27-DISC-CATEGORY-skin-details-ORDERING,ORDERING_DISPUTE,skin-details,Skin Details,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. wrappingBehavior: NOT_DEMONSTRATED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
