segment_id,source_media_id,start_timestamp,end_timestamp,suspected_game,suspected_mode,suspected_creation_path,suspected_category,suspected_menu_label,suspected_option_label,suspected_option_index,extraction_confidence,extraction_methods,evidence_frame_references,review_status,notes
SEG_GFM_MEDIA_CF27_60F68A5C1AF4_0012,GFM_MEDIA_CF27_60F68A5C1AF4,0,4,cf27,Road to Glory Create Player,Create Player > Player,appearance_menu_hair_row,Appearance menu / Hair row,,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Appearance menu begins on Hair row before opening Hair controls.
SEG_GFM_MEDIA_CF27_60F68A5C1AF4_0014,GFM_MEDIA_CF27_60F68A5C1AF4,100,174,cf27,Road to Glory Create Player,Create Player > Player,hair_color,Hair Color,Light Brown,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_003_hair_color_100p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Hair Color label Light Brown is directly readable, but the selector is scrolled so native order remains unresolved."
SEG_GFM_MEDIA_CF27_60F68A5C1AF4_0015,GFM_MEDIA_CF27_60F68A5C1AF4,175,224,cf27,Road to Glory Create Player,Create Player > Player,facial_hair_style,Facial Hair Style,Mutton Chops,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_004_facial_hair_style_175p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Facial Hair Style label Mutton Chops is directly readable, but the selector is scrolled so native order remains unresolved."
SEG_GFM_MEDIA_CF27_60F68A5C1AF4_0016,GFM_MEDIA_CF27_60F68A5C1AF4,225,235.35,cf27,Road to Glory Create Player,Create Player > Player,facial_hair_color,Facial Hair Color,Purple,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_005_facial_hair_color_225p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Facial Hair Color label Purple is directly readable, but the selector is scrolled so native order remains unresolved."
SEG_GFM_MEDIA_CF27_60F68A5C1AF4_0013,GFM_MEDIA_CF27_60F68A5C1AF4,5,99,cf27,Road to Glory Create Player,Create Player > Player,hair_style,Hair Style,Short Curly,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_002_hair_style_5p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Selected native Hair Style label Short Curly is directly readable. Broader traversal is visible but not all labels are cataloged by this intake.
SEG_GFM_MEDIA_CF27_90A29684F972_0017,GFM_MEDIA_CF27_90A29684F972,0,4,cf27,Road to Glory Create Player,Create Player > Player,player_body_styles_entry,Player body / Styles entry,,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Recording begins in Player context before Styles row review.
SEG_GFM_MEDIA_CF27_90A29684F972_0020,GFM_MEDIA_CF27_90A29684F972,125,154,cf27,Road to Glory Create Player,Create Player > Player,qb_under_center_stance,QB Under Center Stance,Visible stance values,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_004_styles_under_center_stance_125p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Under-center stance options are visible; no facial recommendation should use this evidence.
SEG_GFM_MEDIA_CF27_90A29684F972_0021,GFM_MEDIA_CF27_90A29684F972,155,163.8,cf27,Road to Glory Create Player,Create Player > Player,2_point_stance_rows,2-Point Stance rows,Visible stance values,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_005_styles_point_stance_155p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Two-point stance rows are visible; no facial recommendation should use this evidence.
SEG_GFM_MEDIA_CF27_90A29684F972_0018,GFM_MEDIA_CF27_90A29684F972,5,74,cf27,Road to Glory Create Player,Create Player > Player,qb_throw_style,QB Throw Style,Over the Top 2,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_002_styles_throw_style_5p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Styles screen visible with QB Throw Style and other body/context rows. This is not facial-appearance catalog evidence.
SEG_GFM_MEDIA_CF27_90A29684F972_0019,GFM_MEDIA_CF27_90A29684F972,75,124,cf27,Road to Glory Create Player,Create Player > Player,run_style,Run Style,Default / visible style values,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_003_styles_run_style_75p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Run Style and related rows appear during traversal; used for context/dependency gap tracking only.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0001,GFM_MEDIA_CF27_BDD75F0CE953,0,4,cf27,Road to Glory Create Player,Create Player > Player,appearance_menu_head_skin_row,Appearance menu / Head & Skin row,,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_001_appearance_menu_0p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Appearance menu visible before Head & Skin traversal.
