"captureID","section","priority","exactMenuPath","exactCategory","startingOption","endingOption","performTwoCounts","nativeIndexMustRemainVisible","requiredViews","rearViewRequired","canonicalHead","canonicalHairstyle","facialHairSetting","skinSetting","bodySetting","lightingRequirement","cameraRequirement","zoomRequirement","recommendedRecordingLength","videoOrScreenshotsPreferable","existingFootageCanBeReused","whyRequired","acceptanceCriteria","relatedSourceQueueItems","productionStatus","verificationStatus"
"GFM-CAP-001","must_capture_before_phase0_catalog_completion","P0","Xbox Settings > System > Console info; Xbox Settings > System > Updates; Xbox Home > College Football 27 tile > Manage game and add-ons; College Football 27 title/version screen if visible","Environment and game-version evidence","Console info screen","Installed game/update/entitlement or title-version screen","no","no","READABLE_FULL_SCREEN_SYSTEM_OR_GAME_CONTEXT","no","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","4-7 minutes total, split only to avoid exposing private account details","Video preferred; screenshots acceptable for static version/update screens if filenames preserve order","Yes for Road to Glory and appearance research context, but not for exact console model, OS, game executable, patch, edition, entitlement, storefront, or update-state proof.","Current evidence cannot prove the exact Xbox environment, game executable, patch/update state, edition, entitlement, or account context required for a versioned catalog release.","Console family/model and console OS/update state are visible without serial numbers or secrets.; Game executable/version and installed update state are visible or explicitly shown unavailable.; Edition, entitlement/add-on, online/offline, and EA account state are recorded only where safely visible.","RQ-001; RQ-002; RQ-003","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-002","must_capture_before_phase0_catalog_completion","P0","College Football 27 main interface > Road to Glory > Road to Glory setup > Journey type selection > Position selection > QB selection > Create Player > Player","Creation path and body setup","Road to Glory entry from the main interface","Last visible Player/body/height/weight/physique control reached in this path","no","yes","MENU_PATH; PLAYER_TAB_CONTROLS; DEFAULT_OR_BOUNDARY_VALUES_WHERE_VISIBLE","no","Current path evidence only; do not alter head for this capture","Current path evidence only","Current path evidence only","Current path evidence only","Record exact visible body, height, weight, physique, handedness, position, and archetype values; leave unknown when not visible","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","6-10 minutes","Video preferred because path transitions matter","Partially. Existing footage supports the observed path, but unresolved body/archetype/handedness/editability fields remain.","The catalog must tie appearance recommendations to a reproducible creation path and player setup context.","Every transition from Road to Glory to Appearance entry is visible.; Position, archetype, handedness, height, weight, body type, and physique controls are recorded when visible.; Unavailable or unobserved fields remain unresolved rather than inferred.","RQ-017; RQ-018","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-003","must_capture_before_phase0_catalog_completion","P0","Create Player > Player > Appearance > Head & Skin, then Create Player > Player > Appearance > Hair","Appearance menu hierarchy","Appearance entry","Last visible Head & Skin and Hair submenu item after any scrolling continuation","no","yes","FULL_MENU_LIST; SCROLL_CONTINUATION; LOCK_OR_WARNING_STATE_IF_VISIBLE","no","Do not change head; menu-map capture only","Do not change hairstyle; menu-map capture only","Do not change facial hair; menu-map capture only","Do not change skin; menu-map capture only","No body change","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","5-8 minutes","Video preferred; screenshots may supplement long static menu lists","Partially. Existing footage proves Head & Skin and Hair entries, but every current menu record is still partial.","All catalog records need stable parent menus, native order, control type, scrolling evidence, locks, and warnings.","Head & Skin submenu order is fully visible from first through final item.; Hair submenu order is fully visible from first through final item.; Any locks, hidden states, warnings, or scroll continuations are recorded.","RQ-009; RQ-010; RQ-011; RQ-012","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-004","must_capture_before_phase0_catalog_completion","P0","Create Player > Player > Appearance > Head & Skin > Head Template","Head Template count and native order","Face 1 if visible as the first selected Head Template value; otherwise the first visible selected value","Proven final selected Head Template value plus boundary or wrap evidence","yes","yes","MENU_LABEL_OR_INDEX_FOR_EVERY_SELECTED_VALUE; FIRST_VALUE_PROOF; FINAL_VALUE_PROOF; WRAP_OR_NO_WRAP_PROOF","no","Head Template value changes are the subject of this capture","No need to standardize; count/order evidence only","No need to standardize; count/order evidence only","No need to standardize; count/order evidence only","Keep the same player setup throughout","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","20-35 minutes if both counts are continuous; split with overlap if needed","Video strongly preferred","Yes for Face 1-31 research observations and Face 12 overlap; not enough to prove skipped numbers, final count, or wrap.","The current head-template evidence has skipped numbers, duplicate observations, and no proven final selector boundary.","Two complete selected-value passes are recorded.; Face 12 overlap is preserved if clips split.; Skipped values inside the currently observed range are resolved as selected, skipped by traversal, unavailable, or recording error.; No Face count is claimed until final/wrap evidence is visible.","RQ-004; RQ-005; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-005","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin plus Create Player > Player > Appearance > Hair controls that visibly affect eye black, hairstyle obstruction, or facial hair","Canonical comparison setup lock","Current visible obstruction-affecting setting, if present","Locked canonical state or visible proof that the control is unavailable","no","yes","MENU_LABEL; FRONT_PREVIEW; LEFT_3Q_IF_NEEDED; RIGHT_3Q_IF_NEEDED","no","Use one stable head only for setup proof; record its visible label/index if shown","Controlled short or least-obstructing hairstyle if a visible control exists; do not invent the label","None if visibly available; otherwise record the visible limitation","Keep current skin setting unless changing is required to remove obstruction; record visible value only","Keep unchanged from the creation path","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","5-8 minutes","Video preferred","No for production-comparison setup. Existing head footage includes eye black and inconsistent obstruction/framing.","Standardized head and geometry comparison requires locked obstruction, hair, facial-hair, zoom, lighting, and framing conditions.","Eye black is removed or proven unavailable from direct evidence.; Hair and facial hair are locked to low-obstruction states where controls exist.; A stable canonical setup is recorded before standardized capture begins.","RQ-006; RQ-007; RQ-008","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-006","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Head Template","Standardized Head Template visual catalog","First selected Head Template value proven in GFM-CAP-004","Final selected Head Template value proven in GFM-CAP-004","no","yes","MENU; FRONT; LEFT_3Q; LEFT_PROFILE; REAR; RIGHT_PROFILE; RIGHT_3Q","yes","Each selected Head Template value in native order","Canonical low-obstruction hairstyle from GFM-CAP-005","None or lowest-obstruction setting from GFM-CAP-005","Stable value from GFM-CAP-005; do not change mid-run","Stable player setup from GFM-CAP-002","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","Multiple 20-35 minute clips are acceptable; overlap each split by the last completed face","Video preferred for provenance; extracted frames can become derivatives","Existing footage remains useful for order/menu evidence, but current quality is inadequate for production geometric comparison.","Every head candidate needs standardized menu and angle evidence before annotation, measurement, second verification, or production approval.","Every selected head has all required angle views after loading completes.; Native label/index remains visible before each angle set.; No severe blur, overlay, transition frame, or inconsistent zoom/framing contaminates the accepted view set.","RQ-006; RQ-008","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-007","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Skin Tone","Skin Tone","First available Skin Tone value; current footage starts at Skin Tone 09 but does not prove first boundary","Final available Skin Tone value plus boundary or wrap evidence; current footage reaches Skin Tone 23 but does not prove final boundary","yes","yes","MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE","no","Use canonical head from GFM-CAP-005 unless the game forces a different preview","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Skin Tone value changes are the subject of this capture","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","8-15 minutes","Video preferred; screenshots may supplement representative frames","Yes for partial native values and duplicate observations; not for total count or boundaries.","Current Skin Tone evidence has unknown total count, missing observed range values, and no wrap/default proof.","First and final values are proven.; Every selected value has readable native index/label and representative frame.; Two counts or one count plus clear wrap/no-wrap proof closes gaps without racial or ethnic labels.","RQ-019; RQ-024; appearance-control-skin-tone-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-008","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Skin Details","Skin Details","First available Skin Details value; current evidence includes None but first boundary must be shown","Final available Skin Details value plus boundary or wrap evidence","yes","yes","MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Stable skin value unless the control itself changes visible skin details","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","8-15 minutes","Video preferred; screenshots may supplement subtle texture details","Yes for observed labels such as None and current Skin Details candidates; not for total count or production-quality frames.","Current Skin Details evidence is directly observed but count/boundary/default/wrap proof is missing.","All selected native labels are readable and visually confirmed.; Representative face frame exists per value.; Texture effects are recorded separately from geometry claims.","RQ-019; RQ-024; appearance-control-skin-details-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-009","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Eye Shape","Eye Shape","First available Eye Shape value; current evidence includes Almond but first boundary must be shown","Final available Eye Shape value plus boundary or wrap evidence","yes","yes","MENU; FRONT_CLOSE_REPRESENTATIVE_FRAME_PER_VALUE","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","6-10 minutes","Video preferred","Yes for partial labels/order; not enough for boundary and production review.","Eye Shape count and boundaries remain unknown, and the current footage may be affected by eye black.","Every selected value is readable.; The face is stable and front-facing long enough to evaluate eye-region changes.; No ethnicity, identity, or subjective classification is recorded.","RQ-019; RQ-024; appearance-control-eye-shape-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-010","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Eye Color","Eye Color","First available Eye Color value; current evidence includes Light Blue but first boundary must be shown","Final available Eye Color value plus boundary or wrap evidence","yes","yes","MENU; FRONT_CLOSE_REPRESENTATIVE_FRAME_PER_VALUE","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","6-10 minutes","Video preferred; high-resolution screenshots helpful for iris visibility","Yes for partial observed labels; not enough for final count and visibility confidence.","Eye Color needs readable native labels, full selector proof, and representative frames with sufficient resolution.","Every selected color label is readable and visually confirmable.; Lighting and eye-black limitations are absent or documented.; No generic color substitution replaces unreadable native text.","RQ-019; RQ-024; appearance-control-eye-color-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
