suggestionID,category,code,priority,severity,timelineIDs,labels,nativeOrders,confidence,message,reviewAction,factStatus
seq-headTemplates-accidentalJump-video_002_tl_007_video_002_tl_008_Face_4_Face_8_4_8,Head Templates 1-29,accidentalJump,high,review,video-002-tl-007|video-002-tl-008,Face 4|Face 8,4|8,0.55,Large selector movement from Face 4 to Face 8 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_002_tl_011_video_002_tl_012_Face_5_Face_9_5_9,Head Templates 1-29,accidentalJump,high,review,video-002-tl-011|video-002-tl-012,Face 5|Face 9,5|9,0.55,Large selector movement from Face 5 to Face 9 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_002_tl_015_video_002_tl_016_Face_12_Face_16_12_16,Head Templates 1-29,accidentalJump,high,review,video-002-tl-015|video-002-tl-016,Face 12|Face 16,12|16,0.55,Large selector movement from Face 12 to Face 16 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_002_tl_016_video_003_tl_001_Face_16_Face_12_16_12,Head Templates 1-29,accidentalJump,high,review,video-002-tl-016|video-003-tl-001,Face 16|Face 12,16|12,0.55,Large selector movement from Face 16 to Face 12 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_001_video_003_tl_002_Face_12_Face_16_12_16,Head Templates 1-29,accidentalJump,high,review,video-003-tl-001|video-003-tl-002,Face 12|Face 16,12|16,0.55,Large selector movement from Face 12 to Face 16 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_004_video_003_tl_005_Face_13_Face_17_13_17,Head Templates 1-29,accidentalJump,high,review,video-003-tl-004|video-003-tl-005,Face 13|Face 17,13|17,0.55,Large selector movement from Face 13 to Face 17 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_006_video_003_tl_007_Face_18_Face_23_18_23,Head Templates 1-29,accidentalJump,high,review,video-003-tl-006|video-003-tl-007,Face 18|Face 23,18|23,0.55,Large selector movement from Face 18 to Face 23 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_010_video_003_tl_011_Face_21_Face_27_21_27,Head Templates 1-29,accidentalJump,high,review,video-003-tl-010|video-003-tl-011,Face 21|Face 27,21|27,0.55,Large selector movement from Face 21 to Face 27 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-incompleteSelectorEnding-video_003_tl_015_Face_29_29,Head Templates 1-29,incompleteSelectorEnding,high,review,video-003-tl-015,Face 29,29,0.85,Selector boundary is not proven complete for Head Templates 1-29.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_002_tl_016_video_003_tl_001_Face_16_Face_12_16_12,Head Templates 1-29,reversedMovement,high,review,video-002-tl-016|video-003-tl-001,Face 16|Face 12,16|12,0.8,Chronological selection moved backward from native order 16 to 12.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_002_video_003_tl_003_Face_16_Face_14_16_14,Head Templates 1-29,reversedMovement,high,review,video-003-tl-002|video-003-tl-003,Face 16|Face 14,16|14,0.8,Chronological selection moved backward from native order 16 to 14.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_008_video_003_tl_009_Face_24_Face_22_24_22,Head Templates 1-29,reversedMovement,high,review,video-003-tl-008|video-003-tl-009,Face 24|Face 22,24|22,0.8,Chronological selection moved backward from native order 24 to 22.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-selectedLabelOutsideCandidateScope-video_003_tl_013_Face_31,Head Templates 1-29,selectedLabelOutsideCandidateScope,high,review,video-003-tl-013,Face 31,,0.9,Face 31 is deliberately selected in the timeline but is not present in the current candidate records.,Prompt 103 scope covers current Head Template research candidates Face 1 through Face 29 only. Later visible selected labels must be reviewed before creating more records.,review_suggestion_not_verified_game_fact
seq-headTemplates-selectedLabelOutsideCandidateScope-video_003_tl_014_Face_30,Head Templates 1-29,selectedLabelOutsideCandidateScope,high,review,video-003-tl-014,Face 30,,0.9,Face 30 is deliberately selected in the timeline but is not present in the current candidate records.,Prompt 103 scope covers current Head Template research candidates Face 1 through Face 29 only. Later visible selected labels must be reviewed before creating more records.,review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_002_tl_007_video_002_tl_008_Face_4_Face_8_4_8,Head Templates 1-29,skippedIndices,high,review,video-002-tl-007|video-002-tl-008,Face 4|Face 8,4|8,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_002_tl_011_video_002_tl_012_Face_5_Face_9_5_9,Head Templates 1-29,skippedIndices,high,review,video-002-tl-011|video-002-tl-012,Face 5|Face 9,5|9,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_002_tl_015_video_002_tl_016_Face_12_Face_16_12_16,Head Templates 1-29,skippedIndices,high,review,video-002-tl-015|video-002-tl-016,Face 12|Face 16,12|16,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_002_tl_016_video_003_tl_001_Face_16_Face_12_16_12,Head Templates 1-29,skippedIndices,high,review,video-002-tl-016|video-003-tl-001,Face 16|Face 12,16|12,0.75,Chronological selection jumped by -4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_001_video_003_tl_002_Face_12_Face_16_12_16,Head Templates 1-29,skippedIndices,high,review,video-003-tl-001|video-003-tl-002,Face 12|Face 16,12|16,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_004_video_003_tl_005_Face_13_Face_17_13_17,Head Templates 1-29,skippedIndices,high,review,video-003-tl-004|video-003-tl-005,Face 13|Face 17,13|17,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_006_video_003_tl_007_Face_18_Face_23_18_23,Head Templates 1-29,skippedIndices,high,review,video-003-tl-006|video-003-tl-007,Face 18|Face 23,18|23,0.75,Chronological selection jumped by 5 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_010_video_003_tl_011_Face_21_Face_27_21_27,Head Templates 1-29,skippedIndices,high,review,video-003-tl-010|video-003-tl-011,Face 21|Face 27,21|27,0.75,Chronological selection jumped by 6 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_002_video_003_tl_003_Face_16_Face_14_16_14,Head Templates 1-29,accidentalJump,medium,review,video-003-tl-002|video-003-tl-003,Face 16|Face 14,16|14,0.55,Large selector movement from Face 16 to Face 14 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_008_video_003_tl_009_Face_24_Face_22_24_22,Head Templates 1-29,accidentalJump,medium,review,video-003-tl-008|video-003-tl-009,Face 24|Face 22,24|22,0.55,Large selector movement from Face 24 to Face 22 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-accidentalJump-video_003_tl_012_video_003_tl_013_Face_28_Face_31_28_31,Head Templates 1-29,accidentalJump,medium,review,video-003-tl-012|video-003-tl-013,Face 28|Face 31,28|31,0.55,Large selector movement from Face 28 to Face 31 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-headTemplates-candidateRecordWithoutTimelineSelection-Face_15_15,Head Templates 1-29,candidateRecordWithoutTimelineSelection,medium,review,,Face 15,15,0.75,Face 15 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-headTemplates-candidateRecordWithoutTimelineSelection-Face_19_19,Head Templates 1-29,candidateRecordWithoutTimelineSelection,medium,review,,Face 19,19,0.75,Face 19 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-headTemplates-candidateRecordWithoutTimelineSelection-Face_20_20,Head Templates 1-29,candidateRecordWithoutTimelineSelection,medium,review,,Face 20,20,0.75,Face 20 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-headTemplates-candidateRecordWithoutTimelineSelection-Face_25_25,Head Templates 1-29,candidateRecordWithoutTimelineSelection,medium,review,,Face 25,25,0.75,Face 25 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-headTemplates-candidateRecordWithoutTimelineSelection-Face_26_26,Head Templates 1-29,candidateRecordWithoutTimelineSelection,medium,review,,Face 26,26,0.75,Face 26 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-headTemplates-overlappingClip-video_002_tl_015_video_003_tl_001_Face_12_Face_12_12,Head Templates 1-29,overlappingClip,medium,review,video-002-tl-015|video-003-tl-001,Face 12|Face 12,12,0.9,Face 12 appears in multiple source videos.,Confirm this is intentional clip overlap and preserve both evidence references without creating duplicate catalog identities.,review_suggestion_not_verified_game_fact
seq-headTemplates-overlappingClip-video_002_tl_016_video_003_tl_002_Face_16_Face_16_16,Head Templates 1-29,overlappingClip,medium,review,video-002-tl-016|video-003-tl-002,Face 16|Face 16,16,0.9,Face 16 appears in multiple source videos.,Confirm this is intentional clip overlap and preserve both evidence references without creating duplicate catalog identities.,review_suggestion_not_verified_game_fact
seq-headTemplates-repeatedSelection-video_002_tl_015_video_003_tl_001_Face_12_Face_12_12,Head Templates 1-29,repeatedSelection,medium,review,video-002-tl-015|video-003-tl-001,Face 12|Face 12,12,0.85,Face 12 appears more than once in deliberately selected timeline events.,"Confirm whether this is intentional overlap, selector wrap, or an accidental repeated selection before publication.",review_suggestion_not_verified_game_fact
seq-headTemplates-repeatedSelection-video_002_tl_016_video_003_tl_002_Face_16_Face_16_16,Head Templates 1-29,repeatedSelection,medium,review,video-002-tl-016|video-003-tl-002,Face 16|Face 16,16,0.85,Face 16 appears more than once in deliberately selected timeline events.,"Confirm whether this is intentional overlap, selector wrap, or an accidental repeated selection before publication.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_002_tl_008_video_002_tl_009_Face_8_Face_7_8_7,Head Templates 1-29,reversedMovement,medium,review,video-002-tl-008|video-002-tl-009,Face 8|Face 7,8|7,0.8,Chronological selection moved backward from native order 8 to 7.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_002_tl_009_video_002_tl_010_Face_7_Face_6_7_6,Head Templates 1-29,reversedMovement,medium,review,video-002-tl-009|video-002-tl-010,Face 7|Face 6,7|6,0.8,Chronological selection moved backward from native order 7 to 6.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_002_tl_010_video_002_tl_011_Face_6_Face_5_6_5,Head Templates 1-29,reversedMovement,medium,review,video-002-tl-010|video-002-tl-011,Face 6|Face 5,6|5,0.8,Chronological selection moved backward from native order 6 to 5.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_003_video_003_tl_004_Face_14_Face_13_14_13,Head Templates 1-29,reversedMovement,medium,review,video-003-tl-003|video-003-tl-004,Face 14|Face 13,14|13,0.8,Chronological selection moved backward from native order 14 to 13.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_009_video_003_tl_010_Face_22_Face_21_22_21,Head Templates 1-29,reversedMovement,medium,review,video-003-tl-009|video-003-tl-010,Face 22|Face 21,22|21,0.8,Chronological selection moved backward from native order 22 to 21.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_013_video_003_tl_014_Face_31_Face_30_31_30,Head Templates 1-29,reversedMovement,medium,review,video-003-tl-013|video-003-tl-014,Face 31|Face 30,31|30,0.8,Chronological selection moved backward from native order 31 to 30.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-reversedMovement-video_003_tl_014_video_003_tl_015_Face_30_Face_29_30_29,Head Templates 1-29,reversedMovement,medium,review,video-003-tl-014|video-003-tl-015,Face 30|Face 29,30|29,0.8,Chronological selection moved backward from native order 30 to 29.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_002_video_003_tl_003_Face_16_Face_14_16_14,Head Templates 1-29,skippedIndices,medium,review,video-003-tl-002|video-003-tl-003,Face 16|Face 14,16|14,0.75,Chronological selection jumped by -2 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_008_video_003_tl_009_Face_24_Face_22_24_22,Head Templates 1-29,skippedIndices,medium,review,video-003-tl-008|video-003-tl-009,Face 24|Face 22,24|22,0.75,Chronological selection jumped by -2 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-headTemplates-skippedIndices-video_003_tl_012_video_003_tl_013_Face_28_Face_31_28_31,Head Templates 1-29,skippedIndices,medium,review,video-003-tl-012|video-003-tl-013,Face 28|Face 31,28|31,0.75,Chronological selection jumped by 3 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_002_video_004_tl_003_Skin_Tone_09_Skin_Tone_04_9_4,Skin Tone,accidentalJump,high,review,video-004-tl-002|video-004-tl-003,Skin Tone 09|Skin Tone 04,9|4,0.55,Large selector movement from Skin Tone 09 to Skin Tone 04 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_003_video_004_tl_004_Skin_Tone_04_Skin_Tone_10_4_10,Skin Tone,accidentalJump,high,review,video-004-tl-003|video-004-tl-004,Skin Tone 04|Skin Tone 10,4|10,0.55,Large selector movement from Skin Tone 04 to Skin Tone 10 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_004_video_004_tl_005_Skin_Tone_10_Skin_Tone_20_10_20,Skin Tone,accidentalJump,high,review,video-004-tl-004|video-004-tl-005,Skin Tone 10|Skin Tone 20,10|20,0.55,Large selector movement from Skin Tone 10 to Skin Tone 20 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_008_video_004_tl_009_Skin_Tone_21_Skin_Tone_08_21_8,Skin Tone,accidentalJump,high,review,video-004-tl-008|video-004-tl-009,Skin Tone 21|Skin Tone 08,21|8,0.55,Large selector movement from Skin Tone 21 to Skin Tone 08 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_011_video_004_tl_012_Skin_Tone_06_Skin_Tone_29_6_29,Skin Tone,accidentalJump,high,review,video-004-tl-011|video-004-tl-012,Skin Tone 06|Skin Tone 29,6|29,0.55,Large selector movement from Skin Tone 06 to Skin Tone 29 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_012_video_004_tl_013_Skin_Tone_29_Skin_Tone_24_29_24,Skin Tone,accidentalJump,high,review,video-004-tl-012|video-004-tl-013,Skin Tone 29|Skin Tone 24,29|24,0.55,Large selector movement from Skin Tone 29 to Skin Tone 24 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_014_video_004_tl_015_Skin_Tone_22_Skin_Tone_17_22_17,Skin Tone,accidentalJump,high,review,video-004-tl-014|video-004-tl-015,Skin Tone 22|Skin Tone 17,22|17,0.55,Large selector movement from Skin Tone 22 to Skin Tone 17 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_015_video_004_tl_016_Skin_Tone_17_Skin_Tone_13_17_13,Skin Tone,accidentalJump,high,review,video-004-tl-015|video-004-tl-016,Skin Tone 17|Skin Tone 13,17|13,0.55,Large selector movement from Skin Tone 17 to Skin Tone 13 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_018_video_004_tl_019_Skin_Tone_12_Skin_Tone_01_12_1,Skin Tone,accidentalJump,high,review,video-004-tl-018|video-004-tl-019,Skin Tone 12|Skin Tone 01,12|1,0.55,Large selector movement from Skin Tone 12 to Skin Tone 01 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_021_video_004_tl_022_Skin_Tone_03_Skin_Tone_11_3_11,Skin Tone,accidentalJump,high,review,video-004-tl-021|video-004-tl-022,Skin Tone 03|Skin Tone 11,3|11,0.55,Large selector movement from Skin Tone 03 to Skin Tone 11 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_022_video_004_tl_023_Skin_Tone_11_Skin_Tone_23_11_23,Skin Tone,accidentalJump,high,review,video-004-tl-022|video-004-tl-023,Skin Tone 11|Skin Tone 23,11|23,0.55,Large selector movement from Skin Tone 11 to Skin Tone 23 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-incompleteSelectorEnding-video_004_tl_023_Skin_Tone_23_23,Skin Tone,incompleteSelectorEnding,high,review,video-004-tl-023,Skin Tone 23,23,0.85,Selector boundary is not proven complete for Skin Tone.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_002_video_004_tl_003_Skin_Tone_09_Skin_Tone_04_9_4,Skin Tone,reversedMovement,high,review,video-004-tl-002|video-004-tl-003,Skin Tone 09|Skin Tone 04,9|4,0.8,Chronological selection moved backward from native order 9 to 4.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_008_video_004_tl_009_Skin_Tone_21_Skin_Tone_08_21_8,Skin Tone,reversedMovement,high,review,video-004-tl-008|video-004-tl-009,Skin Tone 21|Skin Tone 08,21|8,0.8,Chronological selection moved backward from native order 21 to 8.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
