captureID,priority,category,subcategory,objective,exactStartScreen,exactActionSequence,whatMustRemainUnchanged,requiredBeginningProof,requiredEndingProof,requiredCameraViews,filenamePattern,acceptanceCriteria,recaptureTriggers,status,owner,sessionNumber,existingEvidenceSummary,verifierReadiness,productionReadiness
"GFM-CAP-011","P0","Environment","Console and game version evidence","Record direct evidence for Xbox console identity, game title/version screens, and account-safe environment context.","Xbox dashboard or College Football 27 title screen before entering Road to Glory.","Start from the Xbox dashboard or title screen. | Open visible game title/version information if the game provides it. | Open console information screens only if they do not expose private account, serial, payment, or credential data. | Return to College Football 27 without changing game settings.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Game title or console/game context visible before navigation.","College Football 27 title or Road to Glory entry visible after environment proof.","FULL_MENU_OR_SELECTOR","GFM-CAP-011_ENVIRONMENT_CONSOLE_GAME_VERSION_YYYYMMDD_partNN.mp4","Game title is visible. | Platform family is visible or directly supported by the recording context. | No private account, payment, serial-number, or credential details are exposed. | Unknown version fields remain unresolved if not visible.","Version/build text unreadable. | Private account or credential information is exposed. | Only a filename, not visible screen evidence, supports the environment claim.","EXISTING_RESEARCH_EVIDENCE_INCOMPLETE","wyatt-skaggs","1","1 research candidate(s) exist for related categories, with 0 incomplete evidence marker(s).","BLOCKED_PENDING_CAPTURE","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-012","P0","Environment","Patch/update evidence","Record direct evidence of installed game update or patch state without guessing a version.","Xbox game tile, game management screen, or in-game version/update screen if visible.","Open the least private screen that shows update status, installed version, or latest-update state. | Pause long enough for patch/update fields to be readable. | If no version or patch is visible, record the screen proving that it is unavailable in that path.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Screen title or game tile visible before opening update/version details.","Patch/update/version state visible or visibly unavailable.","FULL_MENU_OR_SELECTOR","GFM-CAP-012_PATCH_UPDATE_STATE_YYYYMMDD_partNN.mp4","Visible patch/update/version evidence is readable when available. | No patch value is inferred from date, filename, or memory. | If unavailable, the unavailable state is captured directly.","Patch/update text unreadable. | Evidence shows a different game or path. | Patch state is inferred rather than visible.","EXISTING_RESEARCH_EVIDENCE_INCOMPLETE","wyatt-skaggs","1","1 research candidate(s) exist for related categories, with 0 incomplete evidence marker(s).","BLOCKED_PENDING_CAPTURE","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-013","P0","Creation paths","Exact canonical Road to Glory creation path","Re-record the canonical Road to Glory Custom creation path with direct timestamps and no missing transition steps.","College Football 27 main interface before Road to Glory.","Navigate Road to Glory > setup > journey type selection. | Select the visible Custom/Create Player path only if shown. | Proceed through position, QB selection, Create Player, Player, Appearance, Head & Skin, and Hair menu visibility. | Pause on each meaningful transition.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Road to Glory entry path visible from the main game interface.","Create Player > Player > Appearance path and Head & Skin/Hair menu visibility shown.","FULL_MENU_OR_SELECTOR","GFM-CAP-013_RTG_CREATION_PATH_YYYYMMDD_partNN.mp4","Every meaningful menu transition is visible. | Mode, creation path, player base, position, and Appearance entry are directly supported. | Unknown version, entitlement, and later-editability fields remain unresolved unless visible.","A transition is skipped. | A selected path is hidden by blur or overlay. | The clip begins after the canonical path decision point.","EXISTING_RESEARCH_EVIDENCE_INCOMPLETE","wyatt-skaggs","1","1 research candidate(s) exist for related categories, with 1 incomplete evidence marker(s).","PARTIAL_RESEARCH_QUEUE_READY_AFTER_CAPTURE_REVIEW","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-001","P0","Appearance menu hierarchy","Menu beginning and ending boundaries","Prove first and final visible Appearance, Head & Skin, and Hair menu boundaries without claiming absent categories.","Create Player > Player > Appearance.","Pause on Appearance. | Open Head & Skin and slowly traverse every visible row. | Show any scroll continuation and final boundary. | Return to Appearance and show the Hair row and any additional visible rows.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Appearance entry visible from Player tab.","Final Head & Skin row and final visible Appearance row shown with no uninspected scroll region hidden.","FULL_MENU_OR_SELECTOR","GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4","Menu titles and row labels are readable. | First and final visible menu rows are proven. | Rows beyond visible Chin or beyond visible Hair remain unknown unless boundary evidence proves otherwise.","Menu labels unreadable. | Scroll boundary not shown. | Any row is skipped or hidden by transition blur.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","1","93 research candidate(s) exist for related categories, with 13 incomplete evidence marker(s).","PARTIAL_RESEARCH_QUEUE_READY_AFTER_CAPTURE_REVIEW","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-002","P0","Head templates","Complete Head Template count and native order","Record two complete Head Template count/order passes with native Face number visible on each selected value.","Create Player > Player > Appearance > Head & Skin > Head Template.","Start at the first available Head Template value. | Move one selected value at a time while the native number remains visible. | Pause on every value. | Continue to the final value and show wrap/no-wrap proof. | Repeat the count a second time or visibly document any discrepancy.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","First selector value shown directly.","Final selector value plus wrap or no-wrap proof shown directly.","FULL_MENU_OR_SELECTOR","GFM-CAP-002_HEAD_TEMPLATE_COUNT_YYYYMMDD_partNN.mp4","Two count passes agree or a discrepancy is clearly captured. | Native order is preserved without skipped selected values. | Face 12 overlap remains continuity evidence only. | Face 29 is not treated as final unless boundary proof shows that.","Native number hidden. | Selected value skipped. | Ending boundary not shown. | Transition frame used as selected evidence.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","2","26 research candidate(s) exist for related categories, with 1 incomplete evidence marker(s).","BLOCKED_PENDING_CAPTURE","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-003","P0","Canonical capture conditions","Head and skin dependency baseline","Record the stable appearance slate used for later production-quality comparison captures.","Create Player > Player > Appearance > Head & Skin.","Record the current native value for every visible Head & Skin control. | Record whether eye black, obstructive hair, facial hair, hats/headwear, or other blockers can be removed. | Do not invent unavailable settings.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Head & Skin root visible before changing any values.","Stable slate shown unchanged across several option changes.","FULL_MENU_OR_SELECTOR","GFM-CAP-003_CANONICAL_APPEARANCE_LOCK_YYYYMMDD_partNN.mp4","Only visible native settings or explicit unavailable states are recorded. | Obstruction-removal attempts are directly supported. | The slate can be repeated by a verifier.","A canonical setting is inferred. | Slate changes without documentation. | Obstruction-removal controls are ambiguous.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","3","Existing capture request GFM-CAP-003 is open and not yet satisfied.","BLOCKED_PENDING_CAPTURE","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-004","P0","Head templates","Standardized head views","Capture production-comparison candidate views for every head template after count/order evidence is complete.","Create Player > Player > Appearance > Head & Skin > Head Template.","Use the canonical slate from GFM-CAP-003. | For each selected head, wait for the preview to load completely. | Capture menu proof plus front, left three-quarter, left profile, right three-quarter, right profile, and rear if available. | Preserve native order.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Canonical slate and first head value shown.","Final captured head value and final required view shown.","MENU | FRONT | LEFT_3Q | LEFT_PROFILE | RIGHT_3Q | RIGHT_PROFILE | REAR_IF_AVAILABLE","GFM-CAP-004_HEAD_TEMPLATE_STANDARDIZED_VIEWS_YYYYMMDD_partNN.mp4","Every captured head uses the same slate. | Required views are not transition frames. | Obstructions and missing views are logged instead of hidden.","Preview not fully loaded. | Framing/zoom changes materially. | Eye black or hair/facial-hair obstruction remains unexplained. | Required view missing.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","3","26 research candidate(s) exist for related categories, with 1 incomplete evidence marker(s).","BLOCKED_PENDING_CAPTURE","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-005","P0","Head & Skin controls","Skin tone, skin details, eye shape, and eye color boundaries","Record direct first-to-final selector evidence for Skin Tone, Skin Details, Eye Shape, and Eye Color.","Create Player > Player > Appearance > Head & Skin.","Open Skin Tone, Skin Details, Eye Shape, and Eye Color one at a time. | For each control, show first value, every selected value, final value, default when visible, and wrap/no-wrap proof. | Pause on each value until labels and preview are readable.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Each control's selector title and first available value shown.","Each control's final value plus wrap/no-wrap proof shown.","FULL_MENU_OR_SELECTOR","GFM-CAP-005_HEADSKIN_COLOR_TEXTURE_EYES_YYYYMMDD_partNN.mp4","Skin Tone boundaries are directly shown. | Skin Details boundaries are directly shown. | Eye Shape boundaries are directly shown. | Eye Color boundaries are directly shown. | No tone, detail, eye shape, or eye color is inferred from neighboring thumbnails.","Label/index unreadable. | First or final boundary missing. | Default not visible and not documented as unavailable. | Character preview not loaded.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","4","48 research candidate(s) exist for related categories, with 48 incomplete evidence marker(s).","PARTIAL_RESEARCH_QUEUE_READY_AFTER_CAPTURE_REVIEW","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-006","P0","Head & Skin geometry controls","Nose, ear, mouth, jaw, chin, and any additional visible geometry controls","Record direct selector evidence for Nose, Ear Shape, Mouth Shape, Jaw Shape, Chin, and any additional Head & Skin controls directly visible.","Create Player > Player > Appearance > Head & Skin.","Open Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin one at a time when visible. | For each control, show first value, every selected value, final value, default when visible, and wrap/no-wrap proof. | If an expected control is absent, show the menu boundary rather than inventing it.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Each opened control's selector title and first available value shown.","Each opened control's final value plus wrap/no-wrap proof shown.","FULL_MENU_OR_SELECTOR","GFM-CAP-006_HEADSKIN_GEOMETRY_CONTROLS_YYYYMMDD_partNN.mp4","Nose boundaries are directly shown. | Ear Shape boundaries are directly shown. | Mouth, Jaw, and Chin controls are opened only if directly visible. | Absent controls are not claimed absent unless menu boundary proof supports it.","Selector boundary missing. | Native label/index hidden. | Control inferred from requirements rather than visible game menu.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","4","17 research candidate(s) exist for related categories, with 18 incomplete evidence marker(s).","PARTIAL_RESEARCH_QUEUE_READY_AFTER_CAPTURE_REVIEW","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
"GFM-CAP-007","P1","Hair menu hierarchy","Hair submenu child controls","Open Hair and map every visible child control without assuming hairstyles, colors, or facial hair exist.","Create Player > Player > Appearance > Hair.","Open Hair from Appearance. | Pause on every visible child row. | Show first and final child-control boundary plus any scroll continuation. | Do not enter child controls until hierarchy is readable.","Do not change unrelated player setup values during the assignment. | Keep native labels, indices, or visible unavailable states on screen. | Do not rename, trim, crop, or recompress the master recording after capture.","Hair row visible from Appearance and opened directly.","Final Hair child row and scroll boundary shown.","FULL_MENU_OR_SELECTOR","GFM-CAP-007_HAIR_SUBMENU_BOUNDARY_YYYYMMDD_partNN.mp4","Hair child controls are directly observed. | Unknown child controls remain unknown if no boundary proof exists. | No hairstyle, hair-color, facial-hair, or facial-hair-color value is created from this hierarchy-only capture.","Hair submenu not opened. | Child rows unreadable. | Scroll boundary hidden.","REQUESTED_NOT_CAPTURED","wyatt-skaggs","5","105 research candidate(s) exist for related categories, with 30 incomplete evidence marker(s).","PARTIAL_RESEARCH_QUEUE_READY_AFTER_CAPTURE_REVIEW","BLOCKED_RESEARCH_ONLY_NOT_SECOND_VERIFIED"
