packageLabel,stableMenuID,parentMenuID,displayLabel,nativeLabel,nativeOrder,controlType,verificationStatus,environmentID,evidenceFileIDs,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-appearance-hair,cf27-menu-player-appearance,Hair,Hair,2,submenu,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-001-source|evidence-cf27-video-002-source,"Hair is visible as a sibling under Appearance, but no current recording opens Hair or proves its child controls. Inspected=False; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-appearance-head-skin,cf27-menu-player-appearance,Head & Skin,Head & Skin,1,submenu,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-001-source|evidence-cf27-video-002-source|evidence-cf27-video-002-source,"Head & Skin hierarchy is directly observed. It is not marked complete because Mouth Shape, Jaw Shape, Chin, and full boundary checks are not independently inspected. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-chin,cf27-menu-appearance-head-skin,Chin,Chin,10,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source,"Chin is visible in the Head & Skin tab row, but no current recording opens or inspects its selector. Inspected=False; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-ear-shape,cf27-menu-appearance-head-skin,Ear Shape,Ear Shape,7,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-009-source,"Ear Shape has a dedicated recording with selected labels, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-eye-color,cf27-menu-appearance-head-skin,Eye Color,Eye Color,5,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-007-source,"Eye Color has a dedicated recording with selected labels, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-eye-shape,cf27-menu-appearance-head-skin,Eye Shape,Eye Shape,4,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-006-source,"Eye Shape has a dedicated recording with selected labels, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-head-template,cf27-menu-appearance-head-skin,Head Template,Head Template,1,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-003-source,"Head Template has dedicated recordings in video-002 and video-003 with selected Face labels, but both inventory and timeline require frame-level segmentation and boundary proof before completion. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-jaw-shape,cf27-menu-appearance-head-skin,Jaw Shape,Jaw Shape,9,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source,"Jaw Shape is visible in the Head & Skin tab row, but no current recording opens or inspects its selector. Inspected=False; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-mouth-shape,cf27-menu-appearance-head-skin,Mouth Shape,Mouth Shape,8,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source,"Mouth Shape is visible in the Head & Skin tab row, but no current recording opens or inspects its selector. Inspected=False; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-nose,cf27-menu-appearance-head-skin,Nose,Nose,6,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-008-source,"Nose has a dedicated recording with selected labels, including a repeated Aquiline observation, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-skin-details,cf27-menu-appearance-head-skin,Skin Details,Skin Details,3,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-005-source,"Skin Details has a dedicated recording with selected labels, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-head-skin-skin-tone,cf27-menu-appearance-head-skin,Skin Tone,Skin Tone,2,list,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-002-source|evidence-cf27-video-004-source,"Skin Tone has a dedicated recording with selected labels, but selector boundary and full ordered value continuity are not yet proven. Inspected=True; complete=False; additionalRecordingRequired=True."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,cf27-menu-player-appearance,menu-cf27-create-player-player-tab,Appearance,Appearance,2,submenu,draft,env-cf27-research-video-001-rtg-path,evidence-cf27-video-001-source|evidence-cf27-video-002-source,Appearance is directly observed and entered. Boundary completeness is not claimed because only Head & Skin and Hair are visible; no dedicated Appearance boundary recording exists. Inspected=True; complete=False; additionalRecordingRequired=True.
