packageLabel,recaptureID,catalogCandidate,category,nativeOption,priority,source,reason,requiredViews,optionalViews,status
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_earshape_001,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,Attached Lobe,HIGH,research_candidate_recapture_need,"Game version, patch, and exact Xbox model remain unknown.|Hair partially obstructs or borders the upper/rear ear area.|Only one lateral ear side is visible in the live character frames.|Selector wrap and final category boundary are not proven.",,,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_earshape_002,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,None,HIGH,research_candidate_recapture_need,"Game version, patch, and exact Xbox model remain unknown.|Hair partially obstructs or borders the upper/rear ear area.|Only one lateral ear side is visible in the live character frames.|Selector wrap and final category boundary are not proven.",,,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_earshape_003,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,Round Free Lobe,HIGH,research_candidate_recapture_need,"Game version, patch, and exact Xbox model remain unknown.|Hair partially obstructs or borders the upper/rear ear area.|Only one lateral ear side is visible in the live character frames.|Selector wrap and final category boundary are not proven.",,,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_earshape_004,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,Pointed,HIGH,research_candidate_recapture_need,"Game version, patch, and exact Xbox model remain unknown.|Hair partially obstructs or borders the upper/rear ear area.|Only one lateral ear side is visible in the live character frames.|Selector wrap and final category boundary are not proven.",,,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_001,CF27_XBOXUNKNOWN_RTG_HEAD_001,Head Template,Face 1,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_002,CF27_XBOXUNKNOWN_RTG_HEAD_002,Head Template,Face 2,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_003,CF27_XBOXUNKNOWN_RTG_HEAD_003,Head Template,Face 3,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_004,CF27_XBOXUNKNOWN_RTG_HEAD_004,Head Template,Face 4,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_005,CF27_XBOXUNKNOWN_RTG_HEAD_005,Head Template,Face 5,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,recapture-cf27_xboxunknown_rtg_head_006,CF27_XBOXUNKNOWN_RTG_HEAD_006,Head Template,Face 6,HIGH,head_template_standardization_qa,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",FRONT|LEFT_3Q|LEFT_PROFILE|MENU|REAR|RIGHT_3Q|RIGHT_PROFILE,ELEVATED|LOWERED,open
