recapture_id,game,category,suspected_option,exact_missing_evidence,recommended_capture_sequence,source_evidence_that_caused_request,reason,status
RECAPTURE_GFM_MEDIA_UNKNOWN_DAF18C625F96_UNKNOWN_CATEGORY_UNSUPPORTED_OR_NON_MEDIA_FILE_CATEGORY,unknown,unknown_category,,Usable media evidence,"Replace with MP4, MOV, PNG, JPG/JPEG, or another supported readable media file if this file was intended as evidence.",GFM_MEDIA_UNKNOWN_DAF18C625F96,unsupported_or_non_media_file,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_UNKNOWN_DAF18C625F96_UNKNOWN_CATEGORY_GAME_IDENTITY_UNRESOLVED_CATEGORY,unknown,unknown_category,,"Visible title, menu, or operator metadata linking the file to a supported game",Record from the title/menu context or provide source metadata. Do not rely on folder names alone.,GFM_MEDIA_UNKNOWN_DAF18C625F96,game_identity_unresolved,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_UNKNOWN_0985ED3C327A_UNKNOWN_CATEGORY_UNSUPPORTED_OR_NON_MEDIA_FILE_CATEGORY,unknown,unknown_category,,Usable media evidence,"Replace with MP4, MOV, PNG, JPG/JPEG, or another supported readable media file if this file was intended as evidence.",GFM_MEDIA_UNKNOWN_0985ED3C327A,unsupported_or_non_media_file,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_UNKNOWN_0985ED3C327A_UNKNOWN_CATEGORY_GAME_IDENTITY_UNRESOLVED_CATEGORY,unknown,unknown_category,,"Visible title, menu, or operator metadata linking the file to a supported game",Record from the title/menu context or provide source metadata. Do not rely on folder names alone.,GFM_MEDIA_UNKNOWN_0985ED3C327A,game_identity_unresolved,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_UNKNOWN_8BF9B71DD358_UNKNOWN_CATEGORY_UNSUPPORTED_OR_NON_MEDIA_FILE_CATEGORY,unknown,unknown_category,,Usable media evidence,"Replace with MP4, MOV, PNG, JPG/JPEG, or another supported readable media file if this file was intended as evidence.",GFM_MEDIA_UNKNOWN_8BF9B71DD358,unsupported_or_non_media_file,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_UNKNOWN_8BF9B71DD358_UNKNOWN_CATEGORY_GAME_IDENTITY_UNRESOLVED_CATEGORY,unknown,unknown_category,,"Visible title, menu, or operator metadata linking the file to a supported game",Record from the title/menu context or provide source metadata. Do not rely on folder names alone.,GFM_MEDIA_UNKNOWN_8BF9B71DD358,game_identity_unresolved,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_TONE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_TONE_3,ea-sports-fc-26,Skin Tone,Skin Tone 3,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_TONE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_TONE_9,ea-sports-fc-26,Skin Tone,Skin Tone 9,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_COMPLEXION_SELECTOR_BOUNDARIES_NOT_PROVEN_COMPLEXION_3,ea-sports-fc-26,Complexion,Complexion 3,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_COMPLEXION_SELECTOR_BOUNDARIES_NOT_PROVEN_COMPLEXION_6,ea-sports-fc-26,Complexion,Complexion 6,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
