package_id,phase,target_stable_id,category,native_order_or_observed_order,visible_label_or_index,source_video_id,source_timestamp_range,evidence_ids,verifier_record_fields_status,verifier_evidence_files_status,verifier_final_disposition,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,,BLUE CHIP,phase0-video-001,18-23,phase0-source-phase0-video-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,,CONTRIBUTOR,phase0-video-001,18-23,phase0-source-phase0-video-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,,ELITE,phase0-video-001,18-23,phase0-source-phase0-video-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,,UNDERDOG,phase0-video-001,18-23,phase0-source-phase0-video-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,,QB,phase0-video-001,24-29,phase0-source-phase0-video-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,2,Square,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,1,Attached Lobe,phase0-video-009,18-20,phase0-frame-video-009-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,None,phase0-video-009,16-17,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,3,Round Free Lobe,phase0-video-009,23-25,phase0-frame-video-009-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,4,Pointed,phase0-video-009,26-30.21,phase0-frame-video-009-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,1,Light Blue,phase0-video-007,12-12,phase0-frame-video-007-tl-002,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,2,Light Brown,phase0-video-007,13-15,phase0-frame-video-007-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,3,Brown,phase0-video-007,16-17,phase0-frame-video-007-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,4,Blue,phase0-video-007,18-20,phase0-frame-video-007-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,5,Light Green,phase0-video-007,25-29.33,phase0-frame-video-007-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,6,Grey,phase0-video-007,23-24,phase0-frame-video-007-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,7,Hazel,phase0-video-007,21-22,phase0-frame-video-007-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
