recaptureID,itemID,itemType,nativeLabel,priority,reason,requiredAction
standardized-recapture-cf27-xboxunknown-rtg-head-001,CF27_XBOXUNKNOWN_RTG_HEAD_001,CATALOG_IMAGE_RECORD,Face 1,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-002,CF27_XBOXUNKNOWN_RTG_HEAD_002,CATALOG_IMAGE_RECORD,Face 2,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-003,CF27_XBOXUNKNOWN_RTG_HEAD_003,CATALOG_IMAGE_RECORD,Face 3,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-004,CF27_XBOXUNKNOWN_RTG_HEAD_004,CATALOG_IMAGE_RECORD,Face 4,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-005,CF27_XBOXUNKNOWN_RTG_HEAD_005,CATALOG_IMAGE_RECORD,Face 5,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-006,CF27_XBOXUNKNOWN_RTG_HEAD_006,CATALOG_IMAGE_RECORD,Face 6,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-007,CF27_XBOXUNKNOWN_RTG_HEAD_007,CATALOG_IMAGE_RECORD,Face 7,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-008,CF27_XBOXUNKNOWN_RTG_HEAD_008,CATALOG_IMAGE_RECORD,Face 8,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-009,CF27_XBOXUNKNOWN_RTG_HEAD_009,CATALOG_IMAGE_RECORD,Face 9,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-010,CF27_XBOXUNKNOWN_RTG_HEAD_010,CATALOG_IMAGE_RECORD,Face 10,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
