captureID,sessionNumber,section,priority,title,expectedDuration,exactMenuPath,exactCategory,exactStartingOption,exactEndingOption,navigationSpeed,requiredPauses,requiredCameraViews,menuIndexMustRemainVisible,twoIndependentCountsRequired,stillScreenshotsRequired,frontViewsRequired,threeQuarterViewsRequired,profileViewsRequired,rearViewsRequired,requiredFileNamingConvention,stopCondition,acceptanceCriteria,sourceGapLabels,productionStatus,verificationStatus
GFM-CAP-001,1,record_this_tonight,P0,Appearance and Head & Skin boundary map,3-5 minutes,"Create Player > Player > Appearance, then Head & Skin",Appearance menu hierarchy,Appearance entry on the Player tab,"Final visible Head & Skin row after any scrolling continuation, then return to Appearance without changing values",Slow list navigation; pause on each menu row before scrolling.,"3 seconds on Appearance, 3 seconds on Head & Skin, 3 seconds on each Head & Skin row, 5 seconds on first and final visible boundaries.",FULL_MENU_LIST; SCROLL_CONTINUATION; LOCK_WARNING_OR_DEPENDENCY_IF_VISIBLE,true,false,false,false,false,false,false,GFM-CAP-001_APPEARANCE_HEADSKIN_BOUNDARY_YYYYMMDD_partNN.mp4,Stop after Head & Skin first/final visible boundaries are proven and the Hair entry is visible from Appearance.,"Appearance entry is visible from the Player tab.; Head & Skin row order is visible from first through final observed row.; Mouth Shape, Jaw Shape, Chin, and any additional visible Head & Skin rows are captured as menu rows only unless opened in later sessions.; No category is marked absent unless the menu boundary is visible.",Appearance; Head & Skin; Additional Appearance rows beyond visible Head & Skin and Hair; Additional Head & Skin rows beyond visible Chin,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-002,2,record_this_tonight,P0,Head Template full count and boundary proof,15-30 minutes,Create Player > Player > Appearance > Head & Skin > Head Template,Head Template count and native order,"First selected Head Template value visible in the selector, expected from current evidence to be Face 1 if unchanged",Proven final selected Head Template value plus boundary or wrap/no-wrap evidence,One deliberate option movement every 2 to 3 seconds; never jump over a selected value without showing the destination.,"3 seconds on every selected value; 5 seconds on first value, final value, and boundary/wrap evidence.",MENU_LABEL_OR_INDEX_PER_SELECTED_VALUE; FIRST_VALUE_PROOF; FINAL_VALUE_PROOF; WRAP_OR_NO_WRAP_PROOF,true,true,false,false,false,false,false,GFM-CAP-002_HEAD_TEMPLATE_COUNT_YYYYMMDD_partNN.mp4,Stop only after two complete counts agree or a visible discrepancy is recorded.,"Two complete selected-value passes are visible.; Currently unresolved values inside the observed range are resolved by direct traversal evidence, not inference.; The final count is not claimed unless final/wrap/no-wrap evidence is visible.; Face 12 overlap remains preserved as continuity evidence, not a duplicate production record.",Head Template,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-003,3,record_this_tonight,P0,Canonical appearance lock slate,5-8 minutes,"Create Player > Player > Appearance > Head & Skin, plus Hair if visible",Stable capture conditions,Head & Skin menu root after GFM-CAP-001 and GFM-CAP-002,Recorded stable slate after the same settings are shown unchanged across at least three option changes,"Slow; this is proof-of-state capture, not count capture.",5 seconds on every visible setting used as part of the canonical slate; 5 seconds after each proof that the slate remained unchanged.,MENU; FRONT_PREVIEW; LEFT_3Q_IF_NEEDED; RIGHT_3Q_IF_NEEDED,true,false,true,true,true,false,false,GFM-CAP-003_CANONICAL_APPEARANCE_LOCK_YYYYMMDD_partNN.mp4,Stop when the stable slate is recorded and any unavailable obstruction-removal controls are visibly documented.,"The lock slate contains only visible native settings or explicit unavailable states.; Eye black and obstruction are removed if visibly possible or documented if not possible.; The slate does not rely on assumed hairstyle, facial-hair, or eye-black labels.",Head Template; Skin Tone; Skin Details; Eye Shape; Eye Color; Nose; Ear Shape; Mouth Shape; Jaw Shape; Chin,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-004,4,record_this_tonight,P0,Head Template standardized visual pass,"45-120 minutes, split by head ranges if needed",Create Player > Player > Appearance > Head & Skin > Head Template,Head Template production-comparison imagery,First Head Template value proven in GFM-CAP-002,Final Head Template value proven in GFM-CAP-002,Slow value-by-value capture; do not move to the next value until all required views for the current value are complete.,3 seconds on menu label/index; 5 seconds after loading completes; 3 seconds per angle.,MENU; FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE; REAR,true,false,true,true,true,true,true,GFM-CAP-004_HEAD_TEMPLATE_STANDARD_VIEWS_YYYYMMDD_partNN.mp4,Stop after every proven Head Template value has required views or a recapture issue is clearly noted.,"Every head has menu evidence and all required views.; Frames are free of severe blur, loading animation, overlays, and inconsistent zoom.; Rear view is captured for completeness but not used to infer facial geometry.",Head Template,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-005,5,record_this_tonight,P0,Head & Skin color and texture controls,25-45 minutes,"Create Player > Player > Appearance > Head & Skin > Skin Tone, Skin Details, Eye Shape, Eye Color","Skin Tone, Skin Details, Eye Shape, Eye Color","First available selected value in Skin Tone, then Skin Details, then Eye Shape, then Eye Color",Final available selected value plus boundary/wrap proof for each of the four categories,One selected value every 3 seconds for color/texture categories; slow down for subtle labels or low readability.,"5 seconds on first, final, default if visible, and wrap/no-wrap proof; 3 seconds per selected value.",MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE; CLOSE_FRONT_WHERE_EYE_VISIBILITY_IS_NEEDED,true,true,true,true,false,false,false,GFM-CAP-005_HEADSKIN_COLOR_TEXTURE_YYYYMMDD_partNN.mp4,"Stop after Skin Tone, Skin Details, Eye Shape, and Eye Color each have first/final/wrap proof and readable selected values.",No racial or ethnic descriptions are recorded for skin presentation.; Unreadable native labels remain queued for review rather than replaced with generic names.; Skin Tone unresolved numeric gaps are closed by direct evidence or explicitly recorded as unavailable/skipped.,Skin Tone; Skin Details; Eye Shape; Eye Color,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-006,6,record_this_tonight,P0,Head & Skin geometry controls,35-70 minutes,"Create Player > Player > Appearance > Head & Skin > Nose, Ear Shape, Mouth Shape, Jaw Shape, Chin","Nose, Ear Shape, Mouth Shape, Jaw Shape, Chin","First available selected value in Nose, then Ear Shape, then Mouth Shape, then Jaw Shape, then Chin",Final available selected value plus boundary/wrap proof for each of the five categories,One selected value only after the required views for the current value are captured.,5 seconds on menu label/index and after loading; 3 seconds per angle; 5 seconds on category boundaries.,MENU; FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE,true,true,true,true,true,true,false,GFM-CAP-006_HEADSKIN_GEOMETRY_YYYYMMDD_partNN.mp4,"Stop after all five categories have first/final/wrap proof, selected values, and required views or explicit recapture notes.","Every selected value is direct evidence, not a thumbnail-only observation.; Side views are captured for Nose and Ear Shape when available.; Mouth, Jaw Shape, and Chin selected values are cataloged only after direct selection.",Nose; Ear Shape; Mouth Shape; Jaw Shape; Chin,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-007,7,record_after_p0_if_time,P1,Hair submenu boundary map,3-6 minutes,Create Player > Player > Appearance > Hair,Hair menu hierarchy,Hair entry from Appearance,Final visible Hair submenu/control after any scrolling continuation,Slow list navigation; pause on each row and every scroll continuation.,3 seconds per visible Hair row; 5 seconds on first and final boundary.,FULL_MENU_LIST; SCROLL_CONTINUATION; LOCK_WARNING_OR_DEPENDENCY_IF_VISIBLE,true,false,false,false,false,false,false,GFM-CAP-007_HAIR_MENU_BOUNDARY_YYYYMMDD_partNN.mp4,Stop after every visible Hair submenu/control row is recorded and unknown child controls are listed by visible native label.,"Hair child controls are directly visible in native order.; Hairstyle, hair color, facial hair, and facial-hair color are not treated as confirmed native controls unless shown.; Locks or unavailable controls remain documented as visible states.",Hair; Hairstyles; Hair colors; Facial hair; Facial-hair colors; Hair submenu child controls,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-008,8,record_after_p0_if_time,P1,"Hairstyle options, only if visible in Hair",30-90 minutes if the native control is visible,Create Player > Player > Appearance > Hair > visible hairstyle control from GFM-CAP-007,Hairstyles,First visible selected value in the hairstyle control shown in GFM-CAP-007,Final selected value plus boundary or wrap/no-wrap proof,One selected hairstyle after all required views for the current value are captured.,3 seconds on menu label/index; 5 seconds after loading; 3 seconds per angle.,MENU; FRONT; LEFT_3Q; LEFT_PROFILE; REAR; RIGHT_PROFILE; RIGHT_3Q,true,true,true,true,true,true,true,GFM-CAP-008_HAIRSTYLES_IF_VISIBLE_YYYYMMDD_partNN.mp4,"Stop after all visible hairstyle values are counted twice and view evidence is complete, or after the control is proven not visible.",The native control is visibly confirmed before option capture begins.; Every selected value has menu evidence and required angle views.; Rear view is included for hair shape/length.,Hairstyles,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-009,9,record_after_p0_if_time,P1,"Hair color options, only if visible in Hair",8-20 minutes if the native control is visible,Create Player > Player > Appearance > Hair > visible hair-color control from GFM-CAP-007,Hair colors,First visible selected value in the hair-color control shown in GFM-CAP-007,Final selected value plus boundary or wrap/no-wrap proof,One selected color every 3 seconds; slow down for subtle or unreadable labels.,"5 seconds on first, final, and wrap/no-wrap proof; 3 seconds per color.",MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE; LEFT_3Q_IF_NEEDED_FOR_VISIBILITY,true,true,true,true,true,false,false,GFM-CAP-009_HAIR_COLORS_IF_VISIBLE_YYYYMMDD_partNN.mp4,Stop after all visible hair-color values are counted twice or after the control is proven not visible.,Every selected value has readable native label/index evidence.; Lighting stays constant.; No generic color name replaces unreadable game text.,Hair colors,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
GFM-CAP-010,10,record_after_p0_if_time,P1,"Facial-hair controls, only if visible in Hair",15-45 minutes if native controls are visible,Create Player > Player > Appearance > Hair > visible facial-hair or facial-hair-color controls from GFM-CAP-007,Facial hair and facial-hair colors,None if visibly present for facial hair; otherwise first visible selected facial-hair-related value,Final selected facial-hair-related value plus boundary or wrap/no-wrap proof,One selected value after menu label and face preview are stable.,"5 seconds on None/first, final, and wrap/no-wrap proof; 3 seconds per selected value.",MENU; FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE,true,true,true,true,true,true,false,GFM-CAP-010_FACIAL_HAIR_IF_VISIBLE_YYYYMMDD_partNN.mp4,Stop after visible facial-hair and facial-hair-color controls are counted twice or proven not visible.,"None is included only if directly visible.; Coverage, mustache, beard, sideburn, stubble, density, and color-control observations are recorded only when visible.; Facial-hair color is not assumed to exist unless shown.",Facial hair; Facial-hair colors,NOT_PRODUCTION_DATA,REQUESTED_NOT_CAPTURED
