recapture_id,source_audit_row_id,group,priority,candidate_or_requirement_id,affected_candidate_ids,exact_menu_path,exact_category,exact_option_or_range,exact_starting_state,exact_canonical_settings,exact_views_required,exact_hold_duration,exact_label_index_must_be_visible,proposed_filename,one_continuous_clip_acceptable,must_show_first_and_final_selector_values,supplements_or_supersedes_existing_evidence,exact_blocker_cleared
CF27-MIN-RECAP-001,requirement-REQ-EYEBROWS,Additional attributes,P1,REQ-EYEBROWS,,Create Player > Player > Appearance > Head & Skin > Additional visible face-matching controls,Additional visible face-matching controls,REQ-EYEBROWS,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-ADDITIONAL-VISIBLE-FACE-MATCHING-CONTROLS-REQ-EYEBROWS-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,No existing source video contains the missing production requirement.,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-002,requirement-REQ-VIEWS-chin,Additional attributes,P1,REQ-VIEWS-chin,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Create Player > Player > Appearance > Head & Skin > Chin,Chin,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",FRONT; LEFT_PROFILE; RIGHT_PROFILE,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-CHIN-REQ-VIEWS-CHIN-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_001,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-003,requirement-REQ-DEPENDENCY-TESTS,Dependency tests,P1,REQ-DEPENDENCY-TESTS,,Create Player > Player > Appearance > Dependency tests,Dependency tests,REQ-DEPENDENCY-TESTS,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,DEPENDENCY_TEST,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-DEPENDENCY-TESTS-REQ-DEPENDENCY-TESTS-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",no,No existing source video contains the missing production requirement.,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-004,requirement-REQ-ORDER-ear-shape,Additional attributes,P1,REQ-ORDER-ear-shape,,Create Player > Player > Appearance > Head & Skin > Ear shape,Ear shape,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-EAR-SHAPE-REQ-ORDER-EAR-SHAPE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-009,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-005,requirement-REQ-VIEWS-ear-shape,Additional attributes,P1,REQ-VIEWS-ear-shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001;CF27_XBOXUNKNOWN_RTG_EARSHAPE_002;CF27_XBOXUNKNOWN_RTG_EARSHAPE_003;CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Create Player > Player > Appearance > Head & Skin > Ear shape,Ear shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001; CF27_XBOXUNKNOWN_RTG_EARSHAPE_002; CF27_XBOXUNKNOWN_RTG_EARSHAPE_003; CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",LEFT_PROFILE; RIGHT_PROFILE,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-EAR-SHAPE-REQ-VIEWS-EAR-SHAPE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-009,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-006,requirement-REQ-ORDER-eye-color,Additional attributes,P1,REQ-ORDER-eye-color,,Create Player > Player > Appearance > Head & Skin > Eye color,Eye color,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-EYE-COLOR-REQ-ORDER-EYE-COLOR-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-007,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-007,requirement-REQ-ORDER-eye-shape,Additional attributes,P1,REQ-ORDER-eye-shape,,Create Player > Player > Appearance > Head & Skin > Eye shape,Eye shape,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-EYE-SHAPE-REQ-ORDER-EYE-SHAPE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-006,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-008,requirement-REQ-ORDER-facial-hair,Facial hair,P1,REQ-ORDER-facial-hair,,Create Player > Player > Appearance > Hair > Facial hair,Facial hair,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-FACIAL-HAIR-REQ-ORDER-FACIAL-HAIR-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-009,requirement-REQ-VIEWS-facial-hair,Facial hair,P1,REQ-VIEWS-facial-hair,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Create Player > Player > Appearance > Hair > Facial hair,Facial hair,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-FACIAL-HAIR-REQ-VIEWS-FACIAL-HAIR-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-010,requirement-REQ-ORDER-facial-hair-color,Hairstyles,P1,REQ-ORDER-facial-hair-color,,Create Player > Player > Appearance > Hair > Facial-hair colors,Facial-hair colors,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-FACIAL-HAIR-COLORS-REQ-ORDER-FACIAL-HAIR-COLOR-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
