taskID,game,exactMenuPath,category,exactOptionOrRange,exactMissingFact,existingVideosReviewed,timestampsAlreadyReviewed,whyExistingVideosAreInsufficient,smallestNewRecordingRequired,proposedFilename,estimatedDurationSeconds,requiredViews,requiredSelectorLabels,acceptanceCriteria,productionStatus
MISS-FC26-001,EA Sports FC player creator footage,Open the same player-creation/customization area shown in the existing source-media videos,Environment / version / platform,Only the missing fact named in this row,Title/version/platform and entry path are not shown.,MEDIA-001; MEDIA-002,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Title/version/platform and entry path are not shown.,Record title/version/platform proof and navigate into Player Creator.,GFM-FC26-environment-path-YYYYMMDD.mp4,60,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-FC26-002,EA Sports FC player creator footage,Open the same player-creation/customization area shown in the existing source-media videos,Complete menu hierarchy,Only the missing fact named in this row,Full top-level creator menu hierarchy and first/final section boundaries are not shown.,MEDIA-001; MEDIA-002,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Full top-level creator menu hierarchy and first/final section boundaries are not shown.,One slow menu-only sweep through the Player Creator top-level sections without changing values.,GFM-FC26-menu-hierarchy-YYYYMMDD.mp4,120,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-FC26-003,EA Sports FC player creator footage,Open the same player-creation/customization area shown in the existing source-media videos,Skin / head / face controls,Only the missing fact named in this row,Visible controls lack first/final/wrap or min/max range proof.,MEDIA-001; MEDIA-002,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Visible controls lack first/final/wrap or min/max range proof.,"Record selected-value/range boundary proof for visible Skin, Head, and Face controls only.",GFM-FC26-skin-head-face-boundaries-YYYYMMDD.mp4,360,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-FC26-004,EA Sports FC player creator footage,Open the same player-creation/customization area shown in the existing source-media videos,Hair / facial hair controls,Only the missing fact named in this row,Visible hair/facial-hair controls lack complete boundaries and final values.,MEDIA-001; MEDIA-002,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Visible hair/facial-hair controls lack complete boundaries and final values.,Record hair/facial-hair boundary proof while preserving front/side/rear preview views.,GFM-FC26-hair-facial-hair-boundaries-YYYYMMDD.mp4,240,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-NBA2K26-001,NBA 2K26 Create A Player footage,Open the same player-creation/customization area shown in the existing source-media videos,Environment / version / platform,Only the missing fact named in this row,Title/version/platform and entry path are not shown.,MEDIA-003; MEDIA-005; MEDIA-007; MEDIA-009; MEDIA-010; MEDIA-011; MEDIA-012,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Title/version/platform and entry path are not shown.,Record version/platform proof and navigate into Create A Player.,GFM-NBA2K26-environment-path-YYYYMMDD.mp4,60,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-NBA2K26-002,NBA 2K26 Create A Player footage,Open the same player-creation/customization area shown in the existing source-media videos,Head Selection,Only the missing fact named in this row,"Head grid is visible, but first/final/wrap or complete count proof is not shown.",MEDIA-003; MEDIA-005; MEDIA-007; MEDIA-009; MEDIA-010; MEDIA-011; MEDIA-012,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Head grid is visible, but first/final/wrap or complete count proof is not shown.","Record Head Selection first value, final value, and wrap/no-wrap proof only.",GFM-NBA2K26-head-selection-boundary-YYYYMMDD.mp4,180,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-NBA2K26-003,NBA 2K26 Create A Player footage,Open the same player-creation/customization area shown in the existing source-media videos,Face-control boundaries,Only the missing fact named in this row,"Brow, eyes, ears, nose, cheeks, mouth, chin, and skin are visible but not complete boundary/range proofs.",MEDIA-003; MEDIA-005; MEDIA-007; MEDIA-009; MEDIA-010; MEDIA-011; MEDIA-012,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Brow, eyes, ears, nose, cheeks, mouth, chin, and skin are visible but not complete boundary/range proofs.",Record boundary/min/max proof for opened face controls; do not rerecord visual rotations already present.,GFM-NBA2K26-face-control-boundaries-YYYYMMDD.mp4,420,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-NBA2K26-004,NBA 2K26 Create A Player footage,Open the same player-creation/customization area shown in the existing source-media videos,Hair and facial hair boundaries,Only the missing fact named in this row,"Hair/facial-hair visual coverage exists, but full selector boundaries and facial-hair color availability are not proven.",MEDIA-003; MEDIA-005; MEDIA-007; MEDIA-009; MEDIA-010; MEDIA-011; MEDIA-012,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Hair/facial-hair visual coverage exists, but full selector boundaries and facial-hair color availability are not proven.","Record hair, hair color, facial-hair style, and any facial-hair color availability boundaries.",GFM-NBA2K26-hair-facial-hair-boundaries-YYYYMMDD.mp4,300,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-NBA2K26-005,NBA 2K26 Create A Player footage,Open the same player-creation/customization area shown in the existing source-media videos,Body controls,Only the missing fact named in this row,Body rows are visible but ranges/defaults are not proven.,MEDIA-003; MEDIA-005; MEDIA-007; MEDIA-009; MEDIA-010; MEDIA-011; MEDIA-012,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Body rows are visible but ranges/defaults are not proven.,Record Body menu ranges/defaults only if body controls are needed for matching.,GFM-NBA2K26-body-ranges-YYYYMMDD.mp4,120,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-CF27-001,College Football 27 create-player footage,Open the same player-creation/customization area shown in the existing source-media videos,Environment / version / platform,Only the missing fact named in this row,Title/version/platform/update and exact path are not shown in source-media videos.,MEDIA-013; MEDIA-014; MEDIA-015,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Title/version/platform/update and exact path are not shown in source-media videos.,Record one short version/platform/path proof clip.,GFM-CF27-environment-path-YYYYMMDD.mp4,60,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-CF27-002,College Football 27 create-player footage,Open the same player-creation/customization area shown in the existing source-media videos,Head & Skin selector boundaries,Only the missing fact named in this row,"Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin are visible but first/final/wrap proof is incomplete.",MEDIA-013; MEDIA-014; MEDIA-015,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin are visible but first/final/wrap proof is incomplete.",Record first/final/wrap boundary proof for visible Head & Skin controls; do not rerecord model rotations already extractable.,GFM-CF27-head-skin-boundaries-YYYYMMDD.mp4,420,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-CF27-003,College Football 27 create-player footage,Open the same player-creation/customization area shown in the existing source-media videos,Profile views for lower face controls,Only the missing fact named in this row,"Nose, Ear Shape, Jaw Shape, and Chin have limited profile evidence in source-media videos.",MEDIA-013; MEDIA-014; MEDIA-015,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Nose, Ear Shape, Jaw Shape, and Chin have limited profile evidence in source-media videos.","Record only missing profile angles for Nose, Ear Shape, Jaw Shape, and Chin with menu label visible.",GFM-CF27-lower-face-profile-views-YYYYMMDD.mp4,180,front;left_profile;right_profile where applicable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-CF27-004,College Football 27 create-player footage,Open the same player-creation/customization area shown in the existing source-media videos,Hair / facial hair boundaries,Only the missing fact named in this row,"Hair Style, Hair Color, Facial Hair Style, and Facial Hair Color are visible but first/final/wrap proof is incomplete.",MEDIA-013; MEDIA-014; MEDIA-015,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,"Hair Style, Hair Color, Facial Hair Style, and Facial Hair Color are visible but first/final/wrap proof is incomplete.",Record boundary proof for Hair controls only; do not rerecord visual hairstyle/facial-hair sweeps unless extraction fails.,GFM-CF27-hair-boundaries-YYYYMMDD.mp4,240,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
MISS-CF27-005,College Football 27 create-player footage,Open the same player-creation/customization area shown in the existing source-media videos,Dependency tests,Only the missing fact named in this row,Existing videos show settings changing but no controlled one-variable dependency test.,MEDIA-013; MEDIA-014; MEDIA-015,See data/media-audit/all_video_timeline_map.json for every inspected timestamp range.,Existing videos show settings changing but no controlled one-variable dependency test.,Record one-variable dependency tests only after category boundaries are stable.,GFM-CF27-dependency-tests-YYYYMMDD.mp4,240,menu labels and selected values readable,"Show visible native labels, values, indices, slider numbers, first/final value, and wrap/no-wrap only when applicable.",Clip must show the exact missing fact with readable UI text and no unrelated category rerecording.,NOT_PRODUCTION_DATA
